epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[11.716984748840332, 0, 0], [3.1454501152038574, 0, 0]]","[[0, 0, 0], [0, 0, 0]]","[[0.005551200697624587, 0.0043221609614061025, 0.019340648862837068], [9.046087435440453e-08, 9.034787905696655e-08, 9.032627906020421e-08]]","[[0.05976656653840673, 0.136083114717709, 0.1266202666558066], [0.07055338230997223, 0.12770653304336463, 0.16737516749876358]]"
1,"[[0, 0, 1.9548615217208862], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0]]","[[0.00033728366821788886, 0.041438718950667426, 0.0040448132721145795], [9.04655465552167e-08, 9.045137902562063e-08, 9.034549773139929e-08]]","[[0.06707776611298556, 0.11636131017753039, 0.14852292768712086], [0.07238282563544793, 0.12282394646601287, 0.13102240490215317]]"
2,"[[0, 0, 1.9523533582687378], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0]]","[[0.004090903843678102, 0.0016117305757349391, 0.0008369592902080104], [9.039249551228119e-08, 9.017160841596883e-08, 9.036179004474137e-08]]","[[0.07065772078040597, 0.11286676749711184, 0.1344427796177412], [0.05690285167384133, 0.12358298524982819, 0.15339922805819875]]"
