epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[0.9999707937240601, 0, 0], [0, 0, 0], [0.9999457001686096, 0, 0], [0, 0, 0]]","[[0.9999721646308899, 0, 0], [0, 0, 0], [0.9999513030052185, 0, 0], [0, 0, 0]]","[[0.008712672109652646, 0.019917251682979684, 0.02948545600341121], [0.09915300372157743, 0.04779617176284131, 0.0410025937822857], [0.00565185323870302, 0.02034396704533696, 0.016241592371847767], [0.10089216171980822, 0.04687266791655543, 0.048818040493770115]]","[[0.007488641150891645, 0.03670122027024221, 0.04988624121003807], [0.08902590843478274, 0.11478160936189742, 0.15446529118979374], [0.007736050202111082, 0.06268204067330044, 0.05511030651768035], [0.0860487635123293, 0.12504686330858558, 0.1328866355074744]]"
1,"[[5.669495582580566, 0, 0], [2.499379873275757, 0, 0], [10.152799606323242, 0, 0], [2.499379873275757, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.05936197196900208, 0.07940607749322197, 0.11011800200515692], [0.0375077684591684, 0.01820716497115926, 0.015643251166732052], [0.03283677741233808, 0.01869076486317642, 0.016426257520509358], [0.03661546828338631, 0.02255390068041053, 0.018763104218998506]]","[[0.0673499838999605, 0.0860742459649482, 0.1557242138752928], [0.07187503300264526, 0.13513902924460539, 0.1491322827000943], [0.05502598012484787, 0.09644086269005919, 0.09296637615745833], [0.09465134901197347, 0.11251875983020469, 0.1424994290384937]]"
2,"[[0, 2.125629425048828, 0.4700757563114166], [0, 0.08795242011547089, 0], [0, 1.2546799182891846, 0.44896379113197327], [0, 0.08795242011547089, 0]]","[[0, 0.04702700302004814, 0], [0, 0, 0], [0, 0.27173149585723877, 0.016955992206931114], [0, 0, 0]]","[[0.06262450737558577, 0.02851265212145005, 0.028227367654253536], [0.013608829072665212, 0.017792471369292014, 0.012143795329410578], [0.0341920051475252, 0.022031946789965392, 0.02129708565616296], [0.019072051151881462, 0.013831192769447232, 0.008790696156214169]]","[[0.060263392688150154, 0.0796422950202517, 0.09449148456073157], [0.0792252257651974, 0.12709500670794843, 0.1351996791753194], [0.05410971234409952, 0.08533995922546513, 0.09116199820978928], [0.08495800526011518, 0.14389268509978642, 0.1347743372847842]]"
3,"[[0, 0.627446711063385, 1.3665356636047363], [0, 0, 0.12231051921844482], [0, 0.7013283371925354, 1.0206780433654785], [0, 0, 0.12231051921844482]]","[[0, 0, 0.37669113278388977], [0, 0, 0], [0, 0, 0.10241899639368057], [0, 0, 0]]","[[0.028449283882265898, 0.02013207328222861, 0.02474227626695731], [9.039140386654227e-08, 9.040672201365796e-08, 9.0292966841428e-08], [0.030740448147079463, 0.029334853956264065, 0.017821512902796332], [2.1256095512046978e-07, 9.03095174769064e-08, 9.034981520492297e-08]]","[[0.06271422649687208, 0.07755920854241538, 0.07624762774315108], [0.09447397552401511, 0.12374914115800353, 0.14177234929994426], [0.06105300111233854, 0.07200672236127317, 0.08911978847527136], [0.08578378220377356, 0.12944200040127063, 0.15098018458493934]]"
4,"[[2.59175705909729, 0, 0], [0, 0, 0], [2.4393959045410156, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.022613957675450307, 0.011223869986520649, 0.015706242258519094], [9.040429370601605e-08, 9.034953912829711e-08, 9.038192976472906e-08], [0.027918659826739283, 0.016227384499179442, 0.013042475368039576], [9.044643281889204e-08, 9.034445366661741e-08, 9.038203670634584e-08]]","[[0.03891469491300533, 0.062456607881415264, 0.09100974837805022], [0.07910337797716223, 0.12795319859860343, 0.15109614549810946], [0.07606844371757968, 0.08316948672141031, 0.11411686302027448], [0.07444964754790984, 0.14003887975578835, 0.14821684810163613]]"
5,"[[0, 1.1578503847122192, 0.5173466801643372], [0, 0, 0], [0, 1.2837445735931396, 0.5321518182754517], [0, 0, 0]]","[[0, 0.5338415503501892, 0.26197537779808044], [0, 0, 0], [0, 0.3864821791648865, 0.1937754601240158], [0, 0, 0]]","[[0.028931407521768152, 0.008027103034683158, 0.003630941536896563], [9.046496350280693e-08, 9.04027733038836e-08, 9.035801851752292e-08], [0.014939981305065492, 0.009754933111500745, 0.003222351027644825], [9.044696292755693e-08, 9.038166146358949e-08, 9.03975402590602e-08]]","[[0.06147812615685352, 0.06697352558945284, 0.09646108641538853], [0.08528698612672479, 0.12854495014651215, 0.1578043262406193], [0.05067249676053772, 0.07490427680681998, 0.0888504098722969], [0.07948743257791793, 0.13684544871353213, 0.1500888030881041]]"
6,"[[0, 0.5716595649719238, 1.0478768348693848], [0, 0, 0], [0, 0.5195825695991516, 1.1718770265579224], [0, 0, 0]]","[[0, 0.07404260337352753, 0.5410898327827454], [0, 0, 0], [0, 0, 0.4848598837852478], [0, 0, 0]]","[[0.015377100630211254, 0.002918119016689205, 0.002769499848412583], [9.040785927655508e-08, 9.040190342389954e-08, 9.038429357337217e-08], [0.013810904101339954, 0.002267937339132559, 0.0017015685983250352], [9.043928343968468e-08, 9.036685621713816e-08, 9.037568885029152e-08]]","[[0.0487017130916926, 0.08911284416835703, 0.08662638565921409], [0.07579751183813792, 0.12219844504705571, 0.14064186276569318], [0.052551859284166065, 0.08133493974065288, 0.09803365864449842], [0.08863611215632985, 0.13660414050859404, 0.14267409314449245]]"
7,"[[1.8590950965881348, 0, 0], [0, 0, 0], [1.4306459426879883, 0, 0], [0, 0, 0]]","[[0.2428356409072876, 0, 0], [0, 0, 0], [0.15840767323970795, 0, 0], [0, 0, 0]]","[[0.017037178313034747, 0.0029963297915518976, 0.005875808701522749], [9.04281969181649e-08, 9.038434569311562e-08, 9.033721482541208e-08], [0.0067157269727277724, 0.001731607692709012, 0.002662639207494806], [9.042660684812061e-08, 9.03287609670003e-08, 9.041939427950974e-08]]","[[0.04131227275245134, 0.07111793720607995, 0.08939853426587747], [0.07866876032147757, 0.13630320691471967, 0.15808972846708919], [0.040004261325933814, 0.06632855942058109, 0.08281767700706087], [0.08438403221220377, 0.12689470605370196, 0.14307118060729407]]"
8,"[[0, 0.9887140393257141, 0.47393500804901123], [0, 0, 0], [0, 0.9678858518600464, 0.45487067103385925], [0, 0, 0]]","[[0, 0.6403840184211731, 0.3906472325325012], [0, 0, 0], [0, 0.6196467876434326, 0.37147676944732666], [0, 0, 0]]","[[0.019506583758713822, 0.00815828559416556, 0.003980049140423341], [9.04605687721346e-08, 9.035985744383578e-08, 9.031406404490346e-08], [0.009170478766431532, 0.0011375184422063123, 0.0028612868495968644], [9.041305906785407e-08, 9.038230963134181e-08, 9.039587894577494e-08]]","[[0.049788570716711736, 0.07589782292545308, 0.09580631464461256], [0.08330959465820575, 0.13144361563903195, 0.1307066570498066], [0.05142011662761378, 0.06825490092482965, 0.08091082130958409], [0.08601140880698974, 0.13555940615580836, 0.15133824898859613]]"
9,"[[0, 0.5851342678070068, 0.8759778141975403], [0, 0, 0], [0, 0.56449294090271, 0.8572534322738647], [0, 0, 0]]","[[0, 0.13931767642498016, 0.6005381941795349], [0, 0, 0], [0, 0.11873629689216614, 0.5816236138343811], [0, 0, 0]]","[[0.021627864614077747, 0.0034283688382636913, 0.0047941007451019185], [9.04269392182469e-08, 9.03563458291957e-08, 9.038620755349945e-08], [0.006410723283961546, 0.003926461238728014, 0.0014336392716539153], [9.045012573426174e-08, 9.041761384886886e-08, 9.04501104379122e-08]]","[[0.05724706239437593, 0.07677587210130132, 0.08938614993472284], [0.08501962282032108, 0.1294824714343872, 0.13700445432863315], [0.04686489806212358, 0.09197061058551852, 0.08301423727441316], [0.08840227862015894, 0.12705021635176575, 0.1499981719429184]]"
10,"[[1.5088564157485962, 0, 0], [0, 0, 0], [1.4309008121490479, 0, 0], [0, 0, 0]]","[[0.20475713908672333, 0, 0], [0, 0, 0], [0.15952067077159882, 0, 0], [0, 0, 0]]","[[0.013719850970740988, 0.005060591621538811, 0.007754396687214501], [9.037893899180774e-08, 9.038101809259018e-08, 9.030763192965176e-08], [0.004946464507657848, 0.0018095305390502378, 0.002931261410623436], [9.04793078094872e-08, 9.034854514962958e-08, 9.031385381074314e-08]]","[[0.0477592445007178, 0.08245593659305625, 0.09853591191263517], [0.08149569521715307, 0.13071166664002173, 0.14170110143654405], [0.05024374862804508, 0.07983811845041497, 0.08824066605744757], [0.07699067182926628, 0.14132037423023563, 0.1425953934127295]]"
11,"[[0, 0.9887140393257141, 0.47393500804901123], [0, 0, 0], [0, 0.9678836464881897, 0.45487067103385925], [0, 0, 0]]","[[0, 0.6403840184211731, 0.3906491994857788], [0, 0, 0], [0, 0.6196467876434326, 0.37147676944732666], [0, 0, 0]]","[[0.01761900676012116, 0.001270836557844687, 0.005501511992039864], [9.04423397833539e-08, 9.031842646249853e-08, 9.033733293955977e-08], [0.009558173538610598, 0.0021697635715366447, 0.003634790640891597], [9.047727425948265e-08, 9.035111302803367e-08, 9.035347280804952e-08]]","[[0.03878505606315411, 0.0805753578608249, 0.0859900733984775], [0.07921291279912257, 0.13120862624416849, 0.1591515914690196], [0.0423533273868589, 0.06513151340333345, 0.08473365185868963], [0.07713784353833497, 0.14511793870669068, 0.13514323524053984]]"
