epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [40.85588073730469, 1.0, 0.5572073459625244], [43.57594299316406, 0.42621830105781555, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6251130700111389], [0, 0.43010103702545166, 1.0]]","[[0.03664827980976011, 0.032413617874238757, 0.24043173942060633], [0.06221607029693249, 0.27808786994680434, 0.04214740860213445], [0.12011858053423143, 0.06263222060463217, 0.019449503828048116]]","[[0.08441441160914326, 0.048748845240543785, 0.300061682767001], [0.10753223868594139, 0.06709566474604568, 0.12107947807478744], [0.21582680255466669, 0.05554051892240211, 0.07541412732539304]]"
1,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.003573234360026168, 0.005709732715434481, 0.004796771126746194], [0.055848293697782506, 0.02712317558940068, 0.014133666287697496], [0.06512041778702024, 0.0654656771317971, 0.09651744812919494]]","[[0.04777633508671073, 0.08927845427269164, 0.16179607643480676], [0.06498947607055008, 0.14098638475933267, 0.09593639343112204], [0.06811420365335064, 0.08470772719731899, 0.11815283083060645]]"
2,"[[49.454017639160156, 2.0993266105651855, 0], [75.49446868896484, 3.5661745071411133, 0], [69.3003921508789, 3.055062770843506, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[8.963569969629628e-05, 0.00019861301166714104, 0.00583726988685491], [0.04477917014820747, 0.060532266529582136, 0.10186939155058865], [0.01670394765501598, 0.012950146596097906, 0.04861771850935086]]","[[0.06247623195677216, 0.09929243593437073, 0.14455203661968966], [0.04291625111578515, 0.08904284385342102, 0.11579973556863069], [0.07060456622071709, 0.0991093431973355, 0.16003828602646786]]"
3,"[[47.01811218261719, 0, 2.157473564147949], [70.54876708984375, 0, 2.6044325828552246], [59.02108383178711, 0, 2.904484748840332]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.120065010507592e-08, 9.089941541537804e-08, 1.0328072490713151e-05], [0.029840045427897918, 0.04399360412430351, 0.060969561829117516], [9.117687623229083e-08, 5.860860872492148e-06, 9.026982293365046e-08]]","[[0.05191576933689353, 0.10829490389802529, 0.13280337692539798], [0.16106793039860248, 0.07836247756615525, 0.14810389663288712], [0.03477916477632696, 0.09381168191580182, 0.24299017742766418]]"
4,"[[0.4972839057445526, 0, 0], [0, 0, 0], [0.4972839057445526, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.132989500248044e-08, 9.108527031535604e-08, 9.101633088690249e-08], [0.028975571121982225, 0.03443645769983474, 0.022080014960378737], [9.119766863185694e-08, 9.087627314326686e-08, 9.073233516908419e-08]]","[[0.08436588458560577, 0.09006919170548576, 0.15348547919780112], [0.06118516932402081, 0.08098417251854016, 0.4476756537143881], [0.05925718349652011, 0.13052989479428212, 0.12643761802115752]]"
5,"[[43.993526458740234, 0, 0], [50.038150787353516, 0.6946915984153748, 0], [43.9935302734375, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.102976687662463e-08, 9.07638325464558e-08, 9.065010104676779e-08], [0.006719839463715835, 0.01794866573977328, 0.006717719758233797], [9.163204286289888e-08, 9.068234832571591e-08, 9.064985204423864e-08]]","[[0.05121623780116173, 0.18525434820926076, 0.2609312448335635], [0.05115339181546543, 0.09556039802234012, 0.1659519855091406], [0.1065891099637485, 0.11979963514014277, 0.12837730377544282]]"
6,"[[46.5477180480957, 0, 0], [48.27241516113281, 0, 1.1773681640625], [46.5477180480957, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.130669934441181e-08, 9.06781034906871e-08, 9.07325410586563e-08], [9.087784859297829e-08, 9.0866704904289e-08, 9.068660413119545e-08], [9.153409559170175e-08, 9.069333732352705e-08, 9.074113225751723e-08]]","[[0.056474270541212256, 0.14287470077693526, 0.1868156890683174], [0.07665930096835244, 0.16407146168032152, 0.10316900949520154], [0.03866256369565696, 0.09218081465541171, 0.09092434645308743]]"
7,"[[0.4972839057445526, 0, 0], [0.4972839057445526, 0, 0], [0.4972839057445526, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.13393891969558e-08, 9.078464133302099e-08, 9.077150705296684e-08], [9.074670012021613e-08, 9.060669481174865e-08, 9.085656311989055e-08], [9.104440517164502e-08, 9.080330660855992e-08, 9.074900049372062e-08]]","[[0.0336929584588372, 0.10591495914450033, 0.12101124936054478], [0.05884664735220721, 0.06322371808617253, 0.13334089289100207], [0.03875175747249778, 0.13001216914796426, 0.9682355780413242]]"
8,"[[43.993526458740234, 0, 0], [43.993526458740234, 0, 0], [43.9935302734375, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.113253556055367e-08, 9.077095757052598e-08, 9.090812210052843e-08], [9.087530010849954e-08, 9.112240411488515e-08, 9.084573133750795e-08], [9.114108169177916e-08, 9.096770742882207e-08, 9.058989701114307e-08]]","[[0.046109040415627404, 0.10032701795157169, 0.1839083935340464], [0.03876084645121362, 0.09337450456807059, 0.09898609589482103], [0.03341126356893938, 0.1490684378960275, 0.08821239563327875]]"
9,"[[46.5477180480957, 0, 0], [46.5477180480957, 0, 0], [46.5477180480957, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.10396247081965e-08, 9.066413521483995e-08, 9.080983046816928e-08], [9.11647534226339e-08, 9.106298858896072e-08, 9.077668172946835e-08], [9.089287653518168e-08, 9.070887863475164e-08, 9.085088391242088e-08]]","[[0.06187347613186583, 0.09861629854047199, 0.16918035119786287], [0.04697781802807659, 0.3880346583755912, 0.19488990340188628], [0.03460996726984906, 0.4647707366478218, 0.18079752601390842]]"
10,"[[0.4972839057445526, 0, 0], [0.4972839057445526, 0, 0], [0.4972839057445526, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.086256003077912e-08, 9.092214662037319e-08, 9.075064262051933e-08], [9.12174242944081e-08, 9.10917214823387e-08, 9.092696626129864e-08], [9.130951104563574e-08, 9.08377412708995e-08, 9.078381242384496e-08]]","[[0.04375911823092586, 0.07756839020439434, 0.40005783931008176], [0.13728252240935662, 0.09008196057923223, 0.12057833496078617], [0.055247472418893544, 0.119071109354354, 0.11934894893454029]]"
11,"[[43.993526458740234, 0, 0], [43.993526458740234, 0, 0], [43.9935302734375, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.116368223570247e-08, 9.06415974849032e-08, 9.084380913374011e-08], [9.090194439914058e-08, 9.076520653565385e-08, 9.071593727486435e-08], [9.093176675937494e-08, 9.071760919155189e-08, 9.066781463565232e-08]]","[[0.055853978552148825, 0.11389921381877546, 0.14282798922048467], [0.0274353988695209, 0.08889181167317135, 0.12496939240717744], [0.04658298046999314, 0.09239845085427562, 0.12742302616909085]]"
