epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [0, 1.0, 0.6503177285194397], [0, 0.6142404079437256, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.5980316400527954], [0, 0.6529603004455566, 1.0]]","[[0.0023019390451105527, 0.012467884304417852, 0.020269752481416825], [0.05008619832811522, 0.004705360936852136, 0.016370973797829185], [0.0735222304497612, 0.0201332670446358, 0.004681970360591]]","[[0.0022820515439915595, 0.030659276455254767, 0.04482343446294679], [0.032277558222791825, 0.004006054717902479, 0.01887719628139041], [0.0367187777149656, 0.026726597669279116, 0.0052473268843598085]]"
1,"[[1.3492326736450195, 0, 0], [1.3573073148727417, 0, 0], [1.3695735931396484, 0, 0]]","[[0.7500535845756531, 0, 0], [0.7138782143592834, 0, 0], [0.6191378235816956, 0, 0]]","[[0.04340966075106022, 0.026454391176490517, 0.030045256925891873], [0.03510159908918206, 0.041608309877766515, 0.0444886629126132], [0.033967658011678295, 0.04038720450768065, 0.04743903761875319]]","[[0.024546106616504523, 0.03757653383167912, 0.05480533199974585], [0.027204058957767393, 0.04394963490404159, 0.06238743410762551], [0.028580305936872556, 0.05783879952523089, 0.05433844762034597]]"
2,"[[1.4009292125701904, 0, 0], [1.4092310667037964, 0, 0], [1.4521169662475586, 0, 0]]","[[0.712552547454834, 0, 0], [0.7159998416900635, 0, 0], [0.6595532894134521, 0, 0]]","[[0.043415941102207915, 0.02980424357721831, 0.03516884770577731], [0.029339965361124955, 0.05309308131835952, 0.0488533609532772], [0.0210797184147442, 0.03579616838858688, 0.050321164180475116]]","[[0.02521395421594905, 0.04771532782925788, 0.06071164675532007], [0.02627012731443409, 0.05582508668299625, 0.06917311014063507], [0.026809629071471074, 0.055195653972972075, 0.06918993789612561]]"
3,"[[1.4392234086990356, 0, 0], [1.4625892639160156, 0, 0], [1.434295892715454, 0, 0]]","[[0.7324889898300171, 0, 0], [0.7618315815925598, 0, 0], [0.7112496495246887, 0, 0]]","[[0.03602832876599469, 0.03467771486955444, 0.0419079564693019], [0.021555084967215785, 0.04630741403358369, 0.04825211757783548], [0.02024748981261052, 0.0319736633676744, 0.03727251171392891]]","[[0.02565612950329212, 0.04608382505956275, 0.05828177444549021], [0.024092564912705585, 0.05817686300127587, 0.06902655267579738], [0.02556640573088398, 0.059513317407648064, 0.07251867915336287]]"
4,"[[1.4553929567337036, 0, 0], [1.4410072565078735, 0, 0], [1.4627078771591187, 0, 0]]","[[0.7599828243255615, 0, 0], [0.7784832119941711, 0, 0], [0.7800882458686829, 0, 0]]","[[0.034538492466055525, 0.03757302252805564, 0.04728259419028754], [0.02042569580955565, 0.040595252984358746, 0.04604105727197184], [0.012224955654965116, 0.02249413611581043, 0.017289644201963758]]","[[0.026395554889740516, 0.04838412543698393, 0.05881870989705187], [0.02846103966357031, 0.051137010198972294, 0.06263099800372615], [0.02512554168552788, 0.0610435527297701, 0.07112410026470795]]"
5,"[[1.4538838863372803, 0, 0], [1.444652795791626, 0, 0], [1.465716004371643, 0, 0]]","[[0.7482861280441284, 0, 0], [0.8007102608680725, 0, 0], [0.7884059548377991, 0, 0]]","[[0.031887034338352264, 0.03459498747966027, 0.037722045543849815], [0.01309140508070859, 0.037296711975965874, 0.04190554244664164], [0.009306909804885369, 0.018515863392523365, 0.014630692402890878]]","[[0.026360280175170475, 0.05041741723717734, 0.0612758964602137], [0.023276214904492526, 0.052469428031617096, 0.06838077695401032], [0.027748065345825256, 0.07008609525420235, 0.08063980312703899]]"
6,"[[1.4938465356826782, 0, 0], [1.464776635169983, 0, 0], [1.488739252090454, 0, 0]]","[[0.7598333954811096, 0, 0], [0.7943452596664429, 0, 0], [0.8109676241874695, 0, 0]]","[[0.029994912216752687, 0.03863588381084442, 0.0445853701983155], [0.011547156427418439, 0.03933395712713012, 0.046582607613293275], [0.006205438621776668, 0.01686429586349242, 0.014153506863245385]]","[[0.027459141059977543, 0.06171503757533554, 0.07448394357325763], [0.0287961559834352, 0.05882365119221929, 0.0684545915090592], [0.025701227528936676, 0.06490815561426966, 0.07355074421506283]]"
7,"[[1.5369055271148682, 0, 0], [1.4541958570480347, 0, 0], [1.484618902206421, 0, 0]]","[[0.781618595123291, 0, 0], [0.8053662180900574, 0, 0], [0.827242374420166, 0, 0]]","[[0.02371529928908807, 0.03817246379484697, 0.04351517482627118], [0.012946763495369742, 0.033814383766897556, 0.03467897011430375], [0.007064939326398375, 0.01651915649935267, 0.008956253981520775]]","[[0.030953072087401428, 0.05410816507496145, 0.06951518389904064], [0.026568010267643816, 0.05022116813754591, 0.06550034159328481], [0.025725368177967247, 0.06659709380388387, 0.08187481719477323]]"
8,"[[1.5472760200500488, 0, 0], [1.4519643783569336, 0, 0], [1.4753438234329224, 0, 0]]","[[0.785127580165863, 0, 0], [0.802224338054657, 0, 0], [0.8428022861480713, 0, 0]]","[[0.018806600457693657, 0.03549093808638599, 0.04083471088695658], [0.010422978780223075, 0.04245173302339956, 0.04395046635405144], [0.006384996250904084, 0.010840546077426329, 0.008743293760067149]]","[[0.026284980247836646, 0.05805742186777399, 0.07629283281127151], [0.02787812397434169, 0.056759711055898554, 0.0696450311617914], [0.02639220107887455, 0.06383111836593955, 0.07420592682769137]]"
9,"[[1.5447969436645508, 0, 0], [1.4516083002090454, 0, 0], [1.4739024639129639, 0, 0]]","[[0.8035012483596802, 0, 0], [0.8010611534118652, 0, 0], [0.8577578663825989, 0, 0]]","[[0.01114457180168049, 0.038312874339074716, 0.03375584667559738], [0.010049516015400755, 0.038054286329821226, 0.04063622455500557], [0.004519582519486637, 0.008632891301139079, 0.009687947499378772]]","[[0.027510665200105824, 0.06647205214704169, 0.06347174606723606], [0.02479307429112514, 0.06372815389949235, 0.06903119283286022], [0.024125609417668364, 0.06867239636324828, 0.08159291677235836]]"
