epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
10,"[[0, 0.5881890654563904, 0.9664798974990845], [0, 0.5894182920455933, 0.9714908003807068], [0, 0.450949102640152, 0.8356831669807434]]","[[0, 0.5911176800727844, 0.8766055107116699], [0, 0.5975802540779114, 0.8759857416152954], [0, 0.4728500545024872, 0.7381091713905334]]","[[0.03338341926094066, 0.01041284432098595, 0.007201840696514105], [0.030520874886260128, 0.010718391877561352, 0.008726023367561791], [0.013087441275251322, 0.0025590643435793843, 0.003112770177025805]]","[[0.03701902928570476, 0.04810032928444776, 0.04771813853486305], [0.03960219014789689, 0.04753296208800877, 0.05527953124572724], [0.038002198835993234, 0.07288735559714683, 0.08538928808597036]]"
11,"[[0, 0.5881909728050232, 0.9664815664291382], [0, 0.5894182920455933, 0.9714925289154053], [0, 0.4509509801864624, 0.8356831669807434]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759857416152954], [0, 0.4728500545024872, 0.7381075024604797]]","[[0.035753269399379894, 0.012018772988610218, 0.007283886266363932], [0.03335531964240295, 0.012044096994257939, 0.007313169960973724], [0.01138485651191951, 0.003643932534133189, 0.002907241351475224]]","[[0.037280397399883806, 0.04874611810590849, 0.04825830849552264], [0.04084306119642382, 0.044724709250443646, 0.051168435326270766], [0.045282941459409524, 0.07653182558986558, 0.08504766506812159]]"
12,"[[0, 0.5881890654563904, 0.9664815664291382], [0, 0.5894182920455933, 0.9714925289154053], [0, 0.4509546756744385, 0.8356865644454956]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.4728519022464752, 0.7381091713905334]]","[[0.03887946502734662, 0.009729707992405802, 0.0085756868626018], [0.03205203585408231, 0.010396214863850386, 0.007632289909773181], [0.012280435108921161, 0.0031751285677322897, 0.0039851237817318495]]","[[0.03706083523059141, 0.05021832926769444, 0.05434204231190051], [0.039477868732356806, 0.04859816913917204, 0.0525102908875938], [0.04147205538505343, 0.07451237282984559, 0.08389549145335982]]"
13,"[[0, 0.5881909728050232, 0.9664815664291382], [0, 0.5894182920455933, 0.9714925289154053], [0, 0.4509509801864624, 0.8356865644454956]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.4728500545024872, 0.7381091713905334]]","[[0.03606409445945056, 0.010104575122728117, 0.007320656499511224], [0.030975963266207215, 0.009550789915721994, 0.007114928416583846], [0.013435540077734271, 0.0034782080168516256, 0.0028949626775666907]]","[[0.03974340092480251, 0.04429270392967, 0.049929173692790284], [0.033023529760141127, 0.04514709458157558, 0.05567001575016795], [0.04017122466304921, 0.06504628257753338, 0.08652058833698852]]"
14,"[[0, 0.5881909728050232, 0.9664815664291382], [0, 0.5894182920455933, 0.9714908003807068], [0, 0.4509509801864624, 0.8356814384460449]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759857416152954], [0, 0.4728500545024872, 0.7381091713905334]]","[[0.03403882613056233, 0.011955739742117048, 0.008187652836753606], [0.03603577281479094, 0.011086029731688254, 0.008589979498467466], [0.009955239782723897, 0.0035031145596680583, 0.0023814000077238676]]","[[0.03861373555600956, 0.04759319699345706, 0.05119463942992381], [0.039842137681227824, 0.04501248762972753, 0.050882463661970585], [0.040110215915004604, 0.06899716395920834, 0.08221740808750788]]"
15,"[[0, 0.5881890654563904, 0.9664815664291382], [0, 0.5894182920455933, 0.9714925289154053], [0, 0.4509509801864624, 0.8356814384460449]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.4728500545024872, 0.7381091713905334]]","[[0.030301505395530375, 0.012094260220468845, 0.008563570514201096], [0.03270961619166821, 0.008508774207078556, 0.008463362128413077], [0.01244031645229438, 0.004435757306058068, 0.002348317317822089]]","[[0.0362072543497385, 0.050877938274518295, 0.04986624194879885], [0.039860797238311714, 0.04728843299253163, 0.05159646118310004], [0.042621662961064205, 0.07263997929030773, 0.08668904516065788]]"
16,"[[0, 0.5881890654563904, 0.9664815664291382], [0, 0.5894201397895813, 0.9714925289154053], [0, 0.4509509801864624, 0.8356831669807434]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.4728500545024872, 0.7381091713905334]]","[[0.04151557485822166, 0.012267863423261574, 0.006322308891039316], [0.035262468914356485, 0.013246054572579267, 0.007506725543422278], [0.011227465050309351, 0.003755218596734952, 0.0037232939318762215]]","[[0.04126304893588308, 0.04639133100501827, 0.05480110616763738], [0.03953308122744595, 0.04547437030015924, 0.05304213180319475], [0.038985969603135696, 0.07177486501158242, 0.08257201549075126]]"
17,"[[0, 0.5881890654563904, 0.9664798974990845], [0, 0.5894182920455933, 0.9714925289154053], [0, 0.4509509801864624, 0.8356865644454956]]","[[0, 0.5911176800727844, 0.8766055107116699], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.4728519022464752, 0.7381091713905334]]","[[0.036272563610120885, 0.011878309039340838, 0.0052580490098647235], [0.03133429568705649, 0.013846913587520203, 0.007081189617057712], [0.013185144453560595, 0.0029011924434570314, 0.0033434074535231392]]","[[0.03900686171996305, 0.04787629853955685, 0.050061576787123495], [0.038259249848476354, 0.046580830335548815, 0.05032033176376417], [0.043259767788258706, 0.07094237756925344, 0.08305809228810852]]"
18,"[[0, 0.5881909728050232, 0.9664798974990845], [0, 0.5894182920455933, 0.9714925289154053], [0, 0.4509546756744385, 0.8356865644454956]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.4728519022464752, 0.7381091713905334]]","[[0.03815194914696034, 0.010265737779927245, 0.006864494129609321], [0.0333625184161632, 0.00954849538380094, 0.008242902947856675], [0.012104388942267764, 0.003457381234651461, 0.00317970594571057]]","[[0.039964766420704394, 0.04813633959021551, 0.054730541057625495], [0.03904172469016613, 0.04170311949876403, 0.048366796932509094], [0.04062364234718124, 0.07811371753930303, 0.08839519948973315]]"
19,"[[0, 0.5881890654563904, 0.9664798974990845], [0, 0.5894201397895813, 0.9714925289154053], [0, 0.450949102640152, 0.8356814384460449]]","[[0, 0.5911176800727844, 0.8766055107116699], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.47284820675849915, 0.7381041646003723]]","[[0.029482652672609248, 0.011341726211791704, 0.006668891115512678], [0.03067314734112449, 0.011227684456270232, 0.006869344653648454], [0.011849799289479634, 0.0029368821151181334, 0.002502977449044998]]","[[0.038372569909885544, 0.05356126596067494, 0.050720150067396864], [0.04266314109409561, 0.04708300985660114, 0.05189689675711745], [0.04382405719004621, 0.07325295114911655, 0.08501329364060843]]"
