epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [40.85588073730469, 1.0, 0.5572073459625244], [43.57594299316406, 0.42621830105781555, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6251130700111389], [0, 0.43010103702545166, 1.0]]","[[0.14786777516539557, 0.05253337542240414, 0.052449585681946034], [0.06821529746934434, 0.01988111155337867, 0.033599736576492824], [0.05010777792625503, 0.08536753180792572, 0.09813143943838956]]","[[0.01657778791086761, 0.08198207125022743, 0.06487046583162538], [0.06992147009599754, 0.02537973119520726, 0.053618986290815795], [0.17492212668575308, 0.05051364232529094, 0.033000511290068764]]"
1,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.05238399704210036, 0.03190292171833813, 0.03301806783298358], [0.05369541446969937, 0.05508459109898311, 0.06441914651384156], [0.11054633611566723, 0.10050286320151962, 0.1001229200129024]]","[[0.05896574593006869, 0.0891640984941295, 0.14917704606338608], [0.11284684678848332, 0.06677709449770233, 0.2926503728263068], [0.15632119214882073, 0.10297540175364775, 0.1179567663881491]]"
2,"[[61.1248779296875, 3.011148691177368, 0], [73.30839538574219, 3.2454652786254883, 0], [81.27550506591797, 3.9698126316070557, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1.9768534381600152e-05, 0.00997686550625704, 0.014840180442886129], [0.02722407034809279, 0.054615707838984506, 0.029056304404831354], [0.05952605070438363, 0.04301088122365115, 0.027569313985891106]]","[[0.03842622724849403, 0.10213968282851954, 0.23140129678763452], [0.06319548977785701, 0.0841766014926804, 0.11874378468060272], [0.05251801315383716, 0.12345693462697117, 0.07210291275346863]]"
3,"[[50.411197662353516, 0, 3.341369152069092], [71.03875732421875, 0.5260211229324341, 3.1395058631896973], [72.75994873046875, 0, 2.9916439056396484]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.002188392015350566, 9.092529854367384e-08, 9.075220694294851e-08], [0.04660161748638489, 0.017743258312189508, 0.018961805166369715], [0.059488172210404006, 0.014006446870465199, 0.0468917385557225]]","[[0.20289979618450976, 0.1255773702057139, 0.12033303404538725], [0.05457849240776369, 0.05394455653766444, 0.36389082476524853], [0.06729693265613293, 0.05713167231832766, 0.1113703873109363]]"
4,"[[0.4972839057445526, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.121743913736298e-08, 9.082917396513814e-08, 9.063807465930105e-08], [0.027541572073808945, 0.0037451125284533346, 0.00525871811794277], [0.026073854533729113, 0.013519766629317689, 0.022990038769716305]]","[[0.033575160147549396, 0.0920013098201824, 0.13976567721922245], [0.09436284983194618, 0.03467451295717869, 0.09914905396002209], [0.11857251455664221, 0.056429540577278274, 0.09102187061503113]]"
5,"[[43.993526458740234, 0, 0], [55.232261657714844, 1.5873558521270752, 0.12518951296806335], [57.185577392578125, 1.262986421585083, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.112068435440482e-08, 9.078299159413831e-08, 9.069527066616756e-08], [0.03258628933223534, 0.008649761378829555, 0.011206049142886823], [0.03677671158143485, 0.028405544560278013, 0.03568479581714282]]","[[0.050250256378647246, 0.1003513451805151, 0.0983371047110401], [0.03097352499833367, 0.1346755461477095, 0.17217687322641592], [0.0981947133289652, 0.15524982081110064, 0.09866816031265614]]"
6,"[[46.5477180480957, 0, 0], [56.395904541015625, 0.8450115323066711, 1.6215091943740845], [63.20805358886719, 0, 0.520652711391449]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.097593360974842e-08, 9.08463631745235e-08, 9.08690816337937e-08], [0.03824275873081489, 0.016688483973863983, 0.012886964130961168], [0.006270435266127514, 0.018493404204506833, 0.01305214118578498]]","[[0.06441081524184683, 0.10806589517738824, 0.09513658069579835], [0.09897981327439828, 0.05317956767009735, 0.08902771306582269], [0.05535883897167319, 0.11944660760912133, 0.11403666011840345]]"
7,"[[0.4972839057445526, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.087626710549335e-08, 9.08877530066808e-08, 9.071638853130722e-08], [0.018481152083219918, 0.006938418216705786, 0.016571137057284715], [9.129505102961347e-08, 9.080371423139912e-08, 9.066578153900121e-08]]","[[0.04699085948552085, 0.15616794093253192, 0.1663830548471407], [0.026548230783457496, 0.06863712366296436, 0.11601232479382967], [0.06501654442356615, 0.11269587611977225, 0.24327167687442913]]"
8,"[[43.993526458740234, 0, 0], [55.24974060058594, 1.5755561590194702, 0.11465771496295929], [43.9935302734375, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.119039228668595e-08, 9.090050962294497e-08, 9.06484450484655e-08], [0.037821070368105496, 0.009811486898549394, 0.005301421056162928], [9.093442844784428e-08, 9.088805091198907e-08, 9.060951333638136e-08]]","[[0.17023233857482115, 0.3339944757342823, 0.39724015837562526], [0.07035288280679731, 0.12536300373630005, 0.26827631036396526], [0.046340466036590464, 0.4235219957520401, 0.1079327760930076]]"
9,"[[46.5477180480957, 0, 0], [56.543792724609375, 0.8331857919692993, 1.6137608289718628], [46.5477180480957, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.096891686101448e-08, 9.06917097569201e-08, 9.070439090826189e-08], [0.027838601377388996, 0.01704538252951433, 0.01572720003528501], [9.100606504456067e-08, 9.097684249467536e-08, 9.089764901821851e-08]]","[[0.0445211078672981, 0.0918751250678644, 0.20273106441323743], [0.038820338242487484, 0.07275284841055156, 0.1227266412550044], [0.14683755743305701, 0.10894138617898086, 0.12859288352254541]]"
