epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
10,"[[1.5088564157485962, 0, 0], [1.5088647603988647, 0, 0], [1.5088647603988647, 0, 0]]","[[0.2047617882490158, 0, 0], [0.20475713908672333, 0, 0], [0.2047617882490158, 0, 0]]","[[0.014369794081426312, 0.006695994364697134, 0.004570784160973504], [0.007546608301529506, 0.004099076712781245, 0.00725210098503629], [0.01521422360139166, 0.008578649704152681, 0.00872815947812119]]","[[0.05126373493067863, 0.09296910965101063, 0.09671136371795568], [0.04279977655927784, 0.07408350093629346, 0.08841052680796874], [0.04636509127374914, 0.06448665875140787, 0.08458843902800048]]"
11,"[[0, 0.9887162446975708, 0.47393500804901123], [0, 0.9887140393257141, 0.4739370048046112], [0, 0.9887140393257141, 0.47393500804901123]]","[[0, 0.6403840184211731, 0.3906472325325012], [0, 0.640386164188385, 0.3906472325325012], [0, 0.6403840184211731, 0.3906472325325012]]","[[0.02455103828135746, 0.0033230455293466778, 0.004426549092072432], [0.019688698100167077, 0.002083814747634574, 0.0043411821741251855], [0.019754317366319073, 0.004065228940287692, 0.009481970108488249]]","[[0.04729742139957532, 0.09807621594696703, 0.09096910361018544], [0.048233974187970104, 0.08349976989640293, 0.07215594971304898], [0.046324531465446454, 0.07894194435149665, 0.0899408252559624]]"
12,"[[0, 0.585127592086792, 0.8759757876396179], [0, 0.5851320624351501, 0.8759778141975403], [0, 0.5851320624351501, 0.8759778141975403]]","[[0, 0.13931341469287872, 0.6005302667617798], [0, 0.13931341469287872, 0.6005322337150574], [0, 0.13931341469287872, 0.600534200668335]]","[[0.013521689478766264, 0.00880126981214412, 0.007941909807329778], [0.017144536952055665, 0.007279856836076396, 0.00438219783456082], [0.024301600032311996, 0.004505827362934212, 0.004461854078166154]]","[[0.050975868078944775, 0.08520546571741722, 0.09098463804108076], [0.05062984991449401, 0.08056058869242273, 0.08842453678034497], [0.05459115852050178, 0.06135147838180155, 0.09732353733740405]]"
13,"[[1.5088564157485962, 0, 0], [1.5088647603988647, 0, 0], [1.5088647603988647, 0, 0]]","[[0.20475713908672333, 0, 0], [0.2047617882490158, 0, 0], [0.2047617882490158, 0, 0]]","[[0.010395555740026386, 0.002996544998939414, 0.003810489668304245], [0.014758985848165667, 0.006978464607267502, 0.00795841693748957], [0.019834484030692857, 0.003777094795503779, 0.003840825734601875]]","[[0.043985943765120834, 0.06272489223185515, 0.09280419537627677], [0.03881907190069416, 0.07689629506855292, 0.09188160988759467], [0.040366981587503487, 0.05822014284292957, 0.09239098008296505]]"
14,"[[0, 0.9887140393257141, 0.47393301129341125], [0, 0.9887140393257141, 0.47393500804901123], [0, 0.9887140393257141, 0.47393500804901123]]","[[0, 0.6403840184211731, 0.3906472325325012], [0, 0.6403840184211731, 0.3906472325325012], [0, 0.6403840184211731, 0.3906472325325012]]","[[0.016839288281642186, 0.002212930827657965, 0.007833765369715761], [0.02162862431396209, 0.002735122747346507, 0.010913041743889578], [0.018094611685131136, 0.0034756518608155093, 0.005277078581187779]]","[[0.05262282070244, 0.08626291643464228, 0.09835272949641126], [0.05140532483013381, 0.06802216132049, 0.08660945716776473], [0.057645017807907414, 0.0755251942320095, 0.08248385166736152]]"
15,"[[0, 0.5851320624351501, 0.8759778141975403], [0, 0.5851320624351501, 0.8759778141975403], [0, 0.5851342678070068, 0.8759778141975403]]","[[0, 0.13931554555892944, 0.6005362272262573], [0, 0.13931341469287872, 0.600534200668335], [0, 0.13931767642498016, 0.6005381941795349]]","[[0.019363170766390103, 0.013591955771973389, 0.004171837616766267], [0.025526098782912583, 0.004064105331506656, 0.004366454769543446], [0.014269320164227252, 0.0036353849768333123, 0.008017693449989961]]","[[0.058232318841691326, 0.07877240981022962, 0.09096397676654891], [0.04932416396957708, 0.06621775165551179, 0.09024281637397681], [0.05174048913035891, 0.08452815224318379, 0.0883205502171171]]"
16,"[[1.5088647603988647, 0, 0], [1.5088731050491333, 0, 0], [1.5088564157485962, 0, 0]]","[[0.2047617882490158, 0, 0], [0.2047617882490158, 0, 0], [0.20475713908672333, 0, 0]]","[[0.01821769969813022, 0.0042743569806932315, 0.004678765044211552], [0.013424740181337786, 0.0066936427828261785, 0.009349518758300056], [0.012820852431800214, 0.005285959860422452, 0.00473268912612346]]","[[0.03922272763633064, 0.0763831861958504, 0.09505414497457342], [0.044145184199412144, 0.06671319883256545, 0.08882038852859889], [0.05382877454172156, 0.08807854560174777, 0.08114258681351762]]"
17,"[[0, 0.9887140393257141, 0.47393301129341125], [0, 0.9887140393257141, 0.47393301129341125], [0, 0.9887140393257141, 0.47393500804901123]]","[[0, 0.6403840184211731, 0.3906472325325012], [0, 0.6403840184211731, 0.3906472325325012], [0, 0.6403840184211731, 0.3906472325325012]]","[[0.020557404072393905, 0.002789851799306987, 0.0054825175761170734], [0.02269578761782462, 0.0030429584658286934, 0.005088899030737629], [0.017840874102201455, 0.018457296664936403, 0.007870931365753423]]","[[0.04909892127702766, 0.07434696501088396, 0.08437529930361069], [0.0576549165520807, 0.06449809922362243, 0.07663997985977518], [0.05245137884817231, 0.07612852811663318, 0.09351063800452682]]"
18,"[[0, 0.5851320624351501, 0.8759778141975403], [0, 0.5851320624351501, 0.8759778141975403], [0, 0.5851320624351501, 0.8759778141975403]]","[[0, 0.13931341469287872, 0.6005322337150574], [0, 0.13931767642498016, 0.6005381941795349], [0, 0.13931341469287872, 0.600534200668335]]","[[0.018298733380957926, 0.003693933883679654, 0.0036813880731864147], [0.02152304878413967, 0.004215764808546084, 0.0022828192149772207], [0.023295411010897757, 0.002993018677140374, 0.002109267809588865]]","[[0.053457829136503335, 0.06583299592001585, 0.08934111058192966], [0.058780034070948506, 0.06743727623424672, 0.08417678454900256], [0.05499560861508362, 0.07415243335234033, 0.09014340052096706]]"
19,"[[1.5088647603988647, 0, 0], [1.5088564157485962, 0, 0], [1.5088564157485962, 0, 0]]","[[0.2047617882490158, 0, 0], [0.2047617882490158, 0, 0], [0.20475713908672333, 0, 0]]","[[0.016856970931005574, 0.0066529505829432695, 0.009166766068077892], [0.011786189846806702, 0.004667338483847773, 0.005969908050758896], [0.01486305294647006, 0.0038653673689839725, 0.01210002875541169]]","[[0.047964750683617545, 0.07148076069932946, 0.08983536055565347], [0.04592458648122069, 0.08025830871656807, 0.08602364614538946], [0.03872331872172865, 0.08808632479956705, 0.08469255764159712]]"
