epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.000253677368164, 0, 0], [90281.109375, 0, 0]]","[[1.0000582933425903, 0, 0], [0, 0, 0]]","[[0.012197572374635413, 0.2867354379188219, 0.03382051144358622], [0.08353884452760285, 0.05837293146116448, 0.05169610871621328]]","[[0.007589307251777072, 0.053712339853483886, 0.03718297228481941], [0.07801113305680815, 0.10304967517540052, 0.212689654443757]]"
1,"[[13.781494140625, 0, 0], [22737.4453125, 0, 0]]","[[0, 0, 0], [0, 0, 0]]","[[0.08272336805178483, 0.02978539862028131, 0.12750462313363403], [0.038879620554067, 0.014996208892556097, 0.0029767800750217276]]","[[0.0680070757318374, 0.35547806200253795, 0.10881061095258628], [0.06788334405770517, 0.17363041263957327, 0.11754226599318575]]"
2,"[[63.292388916015625, 0, 0], [16482.74609375, 0, 0]]","[[0, 0, 0], [0, 0, 0]]","[[0.1369231546885705, 0.0485523745935984, 0.2071570772121903], [0.05618748266886044, 0.011287307769513609, 0.021539860417303304]]","[[0.07899781807261129, 0.08436424238502996, 0.12147034947719798], [0.26598715376367793, 0.11200497198705643, 0.16452941087856265]]"
