epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[6.594708442687988, 0, 0], [7.4524827003479, 0, 0], [7.330935478210449, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.12380387887822956, 0.08826250572905571, 0.05929866079999967], [0.046665598411855864, 0.027960787188603797, 0.029230930920965605], [0.006501473704267361, 0.02579964318005442, 0.05385487159481269]]","[[0.07285288593888242, 0.0743809239170042, 0.10083876576941897], [0.05899216052345142, 0.1081113652841125, 0.09670114704612491], [0.04374067063333891, 0.09800915202845353, 0.1151325387380181]]"
1,"[[0, 1.9914883375167847, 0], [0, 1.834242820739746, 0.4562913477420807], [0, 1.4598698616027832, 0.4321449398994446]]","[[0, 0, 0], [0, 0.3370495140552521, 0], [0, 0.40038540959358215, 0]]","[[0.030189071180396758, 0.03958392254700969, 0.06135467069873019], [0.020705055302907113, 0.0061344072798537735, 0.021480948709969697], [0.03772956984794298, 0.008336169605341906, 0.009094320274753915]]","[[0.08272048345911409, 0.0985693662196342, 0.10889875958069364], [0.059545690220954885, 0.11828432936496952, 0.10527728723939538], [0.05895287159665595, 0.11050804686412692, 0.10775773615910032]]"
2,"[[0, 1.9914848804473877, 0], [0, 1.8622578382492065, 0.40582484006881714], [0, 1.4598698616027832, 0.4321449398994446]]","[[0, 0, 0], [0, 0.363251268863678, 0], [0, 0.40038082003593445, 0]]","[[0.029940409504767816, 0.061984728247203406, 0.021889986142363496], [0.017868860008882027, 0.0038107654923742944, 0.009163107130006773], [0.01667495957681527, 0.006729715699290587, 0.014553577595969666]]","[[0.06538498353725317, 0.1450399323927902, 0.13658806207338012], [0.06339679548763812, 0.0728242077946285, 0.10516122128046371], [0.07177412349967105, 0.06722537595674692, 0.09956733045677467]]"
3,"[[0, 1.9914848804473877, 0], [0, 1.8622545003890991, 0.4058232009410858], [0, 1.4598681926727295, 0.4321449398994446]]","[[0, 0, 0], [0, 0.363251268863678, 0], [0, 0.4003785252571106, 0]]","[[0.05154630630815194, 0.04011892925206063, 0.06624302059453235], [0.0422759239282829, 0.004158308516115563, 0.007693432236242199], [0.020133165914580253, 0.005573880921480216, 0.012328768103604244]]","[[0.09552129856688606, 0.10265215175629774, 0.16232904791814035], [0.07214136887575796, 0.07736549310569141, 0.10091426186814596], [0.06686755616542168, 0.08962835680879934, 0.10709344430427907]]"
4,"[[0, 1.9914815425872803, 0], [0, 1.8622545003890991, 0.4058232009410858], [0, 1.4598681926727295, 0.4321449398994446]]","[[0, 0, 0], [0, 0.363251268863678, 0], [0, 0.4003785252571106, 0]]","[[0.03090425307647292, 0.04267341556593988, 0.023744054233636198], [0.019880453303833916, 0.005106990328436361, 0.0073571869944554944], [0.01811501659481621, 0.004335276414160844, 0.0059458044618883096]]","[[0.08785596913106025, 0.08504737497891506, 0.1449839265451803], [0.0616299138711346, 0.12212223162972054, 0.10651874649074977], [0.06378839251982486, 0.06728240272537088, 0.10315338489514443]]"
