epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [40.85588073730469, 1.0, 0.5572073459625244], [43.57594299316406, 0.42621830105781555, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6251130700111389], [0, 0.43010103702545166, 1.0]]","[[0.21369501382282385, 0.13967325708432768, 0.04688658924976819], [0.06748041322508487, 0.02984563044186542, 0.5712614067274803], [0.07384700129424224, 0.04752519973971299, 0.031014263663338298]]","[[0.018472006499650022, 0.0725366684352949, 0.06708112287656771], [0.04908649256264995, 0.02206649406838734, 0.04855969213163339], [0.03575004225753952, 0.04402444451989161, 0.02673111543224454]]"
1,"[[0, 0.05345584452152252, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.04918645665309246, 0.034785671140835354, 0.07602041971167899], [0.09010834183495652, 0.0732532913760967, 0.09347542009346926], [0.12183554322470631, 0.05828750798910273, 0.07614619356409079]]","[[0.04760649268342059, 0.061298108029891454, 0.11203594962802038], [0.06561285414919048, 0.1253039164903888, 0.16573914080435997], [0.042944141270815486, 0.3105721150897033, 0.08282469382016779]]"
2,"[[74.06718444824219, 4.380295276641846, 0], [86.1757583618164, 5.22556734085083, 0], [91.54714965820312, 3.227546215057373, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.0209116535581047, 0.041017332939155444, 0.07180653492004772], [0.0650433259627706, 0.01571609610872185, 0.032770506648705115], [0.1238488842032244, 0.06515597815200946, 0.1329133655624765]]","[[0.0445001595427839, 0.09189757790846406, 0.1445525197260892], [0.042135626677224314, 0.29317514087624563, 0.36705643248235104], [0.056463294848492315, 0.1017466024511823, 0.09632673719478527]]"
3,"[[65.85224151611328, 0, 1.5650136470794678], [64.49871063232422, 0, 3.6052370071411133], [96.93329620361328, 0, 3.617603063583374]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.017251786070588433, 0.009511032398637929, 0.005433826993297455], [0.057576842822799734, 0.03866686184514175, 0.021180799619595063], [0.10382458325797282, 0.07343806687835958, 0.1114331995787631]]","[[0.10717789332846953, 0.2113007572129457, 0.10909348831995387], [0.18226978396682, 0.06142676084127391, 0.09546853480549508], [0.09452852071410361, 0.15593607446577054, 0.13322544824830093]]"
4,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.080861726846261e-08, 9.098961696595873e-08, 9.095074949797785e-08], [0.002189001286370535, 0.007925679762661474, 0.013154391628731034], [0.00892825042062544, 0.022992462062315432, 0.010260068090668636]]","[[0.040018366611156146, 0.10863404681804956, 0.14754462422428305], [0.14671189797747886, 0.24999022925014547, 0.1168833708230898], [0.07090714992053562, 0.12667653586977412, 0.10226827117772722]]"
5,"[[43.993526458740234, 0, 0], [46.03945541381836, 0.30280858278274536, 0], [69.28527069091797, 1.0645785331726074, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.093765638906984e-08, 9.084028012014873e-08, 9.076574700199891e-08], [9.110411173644136e-08, 0.004204737744224069, 1.038398223261237e-07], [0.0038086391012259633, 0.017579409183065376, 0.018262218568484503]]","[[0.07182240823093153, 0.16201205306763836, 0.16935323518533474], [0.0469039892180063, 0.07958125726428665, 0.12862167487598086], [0.062177257752524265, 0.11804855379347842, 0.09278461006209984]]"
6,"[[46.5477180480957, 0, 0], [46.910400390625, 0, 1.2652276754379272], [58.85291290283203, 0, 1.961101770401001]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.100994111567719e-08, 9.071016044501626e-08, 9.077056897512478e-08], [9.089014968279133e-08, 9.075570488836679e-08, 9.065258407502246e-08], [0.0103393073885973, 0.0007618341849840679, 0.012341228948243103]]","[[0.14454230381823752, 0.12245432002392827, 0.11122726762878318], [0.13546993304397786, 0.10962085986387592, 0.08914844436242951], [0.07648144681371084, 0.11305617678572377, 0.12471377929270552]]"
7,"[[0.4972839057445526, 0, 0], [0.4972839057445526, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.10438852685318e-08, 9.083706771981528e-08, 9.100183896679727e-08], [9.113935633909974e-08, 9.104769601964856e-08, 9.08127133414111e-08], [9.103808519838478e-08, 9.068224706511849e-08, 9.069108955765909e-08]]","[[0.05333507551367857, 0.12649432137561878, 0.40253731306363943], [0.35382184880050793, 0.09751215929668594, 0.1197694164276327], [0.05434402381977286, 0.1976391085958629, 0.1443721077310605]]"
8,"[[43.993526458740234, 0, 0], [43.993526458740234, 0, 0], [43.9935302734375, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.115841409383405e-08, 9.076992270149844e-08, 9.065488899373222e-08], [9.10649223568139e-08, 9.074343546648318e-08, 9.086245643403686e-08], [9.117507446314325e-08, 9.074489382790694e-08, 9.065183909027297e-08]]","[[0.11891587497131416, 0.10255711131820967, 0.11265948039930535], [0.16803024078585715, 0.07526722431789756, 0.11327589658937139], [0.05934526824979213, 0.11078553219652605, 0.09613630832375036]]"
9,"[[46.5477180480957, 0, 0], [46.5477180480957, 0, 0], [46.5477180480957, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.108700923409347e-08, 9.071598936543335e-08, 9.083547930454983e-08], [9.102622238721253e-08, 9.096549191014625e-08, 9.061803634122433e-08], [9.106173912421826e-08, 9.085819880369331e-08, 9.084352799467224e-08]]","[[0.1031816479506027, 0.1028473483665051, 0.12756345423341037], [0.11073068697059286, 0.08899256806303232, 0.11107246881669629], [0.06906070467066373, 0.10735376767534036, 0.07917829919565271]]"
