Likelihood over,S0,S1,S00,S01,S11,S_l0
T0,[0.93575442 0.93446869 0.93467367 0.94222611 0.93723655],[0. 0. 0. 0.],[0.94831514 0.94962096 0.94700217 0.95358425 0.95434105],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0.9319244  0.93192583 0.93192583]
T1,[0. 0. 0. 0. 0.],[0.10379554 0.14910823 0.11512103 0.16325079],[0. 0. 0. 0. 0.],[0.75041735 0.74841541 0.7429207  0.81092006 0.80951512],[0.0689861  0.17520905 0.23939398 0.16147403 0.26177683],[0. 0. 0.]
T2,[0. 0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0.]
