epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
10,"[[1.0170751810073853, 0, 0], [1.0011236667633057, 0, 0], [1.033630609512329, 0, 0], [1.0011236667633057, 0, 0]]","[[0.9233709573745728, 0, 0], [0.9365958571434021, 0, 0], [0.8751725554466248, 0, 0], [0.9365958571434021, 0, 0]]","[[0.004928732996346182, 0.012093054217699364, 0.012216754588835322], [0.0031193536483147405, 0.0038539884532883583, 0.004238607762047005], [0.007318403797230438, 0.003445618716725857, 0.003908217169918229], [0.003298197474843367, 0.0037641989804622676, 0.005146491709729802]]","[[0.02241990928874149, 0.049573891202029235, 0.06561072545691245], [0.0240970470577124, 0.05651677323403382, 0.06695783798906384], [0.025738255407592798, 0.05382615942266828, 0.0647541629972397], [0.023971870922145287, 0.05394662331496066, 0.06573575803385147]]"
11,"[[0, 0.9658917784690857, 0.5631344318389893], [0, 0.9285410642623901, 0.5150872468948364], [0, 0.9436900615692139, 0.51908278465271], [0, 0.9285410642623901, 0.5150872468948364]]","[[0, 0.9204040169715881, 0.5096093416213989], [0, 0.8910558223724365, 0.4719156324863434], [0, 0.8730377554893494, 0.4515029489994049], [0, 0.8910558223724365, 0.4719156324863434]]","[[0.030711709149354414, 0.006534185215228357, 0.008287997004122435], [0.018839461408462335, 0.004590337851175336, 0.007722847181245155], [0.022842245982344876, 0.008686500710234333, 0.01053125519028458], [0.020482229460230674, 0.005184653260776602, 0.0070642381094603935]]","[[0.0380779114052828, 0.04215694514642709, 0.05867090314972726], [0.03792802147742925, 0.053873484753868606, 0.06940199436464067], [0.04142614595602728, 0.05662459422843352, 0.06900804860374081], [0.03827961661387712, 0.05368843774327463, 0.06757230238347701]]"
12,"[[0, 0.5814566612243652, 0.9273918867111206], [0, 0.5455762147903442, 0.8853265047073364], [0, 0.5555477142333984, 0.8947556018829346], [0, 0.5455762147903442, 0.8853265047073364]]","[[0, 0.5573791265487671, 0.8790426850318909], [0, 0.5334543585777283, 0.848039448261261], [0, 0.5237975716590881, 0.8354600071907043], [0, 0.5334543585777283, 0.848039448261261]]","[[0.03578568446665239, 0.010574861717241804, 0.00612561710759937], [0.023775505159812745, 0.005031418719653139, 0.0042353098330403325], [0.02445012601194727, 0.00849758918653799, 0.008033808905207312], [0.025545851504927938, 0.005383483074117878, 0.004599967135526268]]","[[0.03688127751027081, 0.04421854990143722, 0.04493050232392738], [0.039243133830831584, 0.05407595163133864, 0.0596995289237355], [0.043856800635058944, 0.056744869575205074, 0.06299570449246844], [0.03861317085015684, 0.04866628889917004, 0.06067526269010622]]"
13,"[[1.0170751810073853, 0, 0], [1.0011236667633057, 0, 0], [1.0336244106292725, 0, 0], [1.0011236667633057, 0, 0]]","[[0.9233863949775696, 0, 0], [0.9365866184234619, 0, 0], [0.8751725554466248, 0, 0], [0.9365866184234619, 0, 0]]","[[0.005461392725531978, 0.010969254672059822, 0.010819233673040699], [0.003290858731782213, 0.004050719065598119, 0.004898497912789292], [0.007029280941955816, 0.0037735090445601836, 0.00473052213011112], [0.0034992680632525922, 0.004359730186184195, 0.004496721414106213]]","[[0.023073182644285897, 0.04715370967788379, 0.06445876527026538], [0.02396733547746647, 0.053859709013108284, 0.0652897375783768], [0.023454168239136337, 0.05164408379214734, 0.06884923527173745], [0.024524936665424817, 0.054745696758398556, 0.06695540712978375]]"
14,"[[0, 0.9658917784690857, 0.5631344318389893], [0, 0.9285374283790588, 0.5150839686393738], [0, 0.9436900615692139, 0.51908278465271], [0, 0.9285374283790588, 0.5150839686393738]]","[[0, 0.9204040169715881, 0.5096093416213989], [0, 0.8910540342330933, 0.4719156324863434], [0, 0.8730396032333374, 0.4515029489994049], [0, 0.8910540342330933, 0.4719156324863434]]","[[0.02802543525723188, 0.005082143987107587, 0.008311966357390906], [0.01850111205559296, 0.004523632319212017, 0.006958946263456902], [0.024760096358373992, 0.008039738916598592, 0.008727009508729079], [0.01900873006518799, 0.004212649504026268, 0.006000642165808312]]","[[0.038039310479906455, 0.04267279231239365, 0.06031931710843307], [0.036050735770231115, 0.054357580789600124, 0.06902448955801879], [0.03891128241547393, 0.05478971035529403, 0.07087721212979178], [0.03720330923640227, 0.05475544805008678, 0.07078361162948385]]"
15,"[[0, 0.581454873085022, 0.9273918867111206], [0, 0.5455762147903442, 0.8853297829627991], [0, 0.5555513501167297, 0.8947556018829346], [0, 0.5455762147903442, 0.8853297829627991]]","[[0, 0.5573791265487671, 0.8790426850318909], [0, 0.5334543585777283, 0.848039448261261], [0, 0.5237957835197449, 0.8354600071907043], [0, 0.5334543585777283, 0.848039448261261]]","[[0.033492014537138466, 0.00943331493710662, 0.007575628776850196], [0.023593017954846883, 0.004786985207213934, 0.004691418885073833], [0.023370385968788515, 0.00829224215775032, 0.007949862638524013], [0.02585281564045011, 0.004882154080787781, 0.004502632157606435]]","[[0.038565052813305425, 0.045623188254302005, 0.047507938685751094], [0.03942247538385972, 0.052020675863324206, 0.06370274003305845], [0.040567824449269395, 0.05393468209971438, 0.05859091248074409], [0.0401316916913603, 0.05389314488399717, 0.0622237521173697]]"
16,"[[1.017081379890442, 0, 0], [1.001126766204834, 0, 0], [1.033630609512329, 0, 0], [1.001126766204834, 0, 0]]","[[0.9233863949775696, 0, 0], [0.9365866184234619, 0, 0], [0.8751756548881531, 0, 0], [0.9365866184234619, 0, 0]]","[[0.006059127508667322, 0.009723575331674103, 0.012292680973234205], [0.0036338611578278137, 0.004138197009754196, 0.004591012747463487], [0.006419589292247639, 0.004218075710147813, 0.004414919892668018], [0.003393930606549514, 0.0047627479949591146, 0.004798090221049094]]","[[0.023253904889700413, 0.04984480836425416, 0.06796219445085845], [0.024513296444859806, 0.05425151413947352, 0.06889691212992953], [0.023201850600354217, 0.04969179415033493, 0.06398900221983245], [0.021872215071400365, 0.0549124172062598, 0.06787562511586029]]"
17,"[[0, 0.9658917784690857, 0.5631344318389893], [0, 0.9285410642623901, 0.5150839686393738], [0, 0.9436900615692139, 0.51908278465271], [0, 0.9285410642623901, 0.5150839686393738]]","[[0, 0.9204040169715881, 0.5096093416213989], [0, 0.8910558223724365, 0.4719156324863434], [0, 0.8730359673500061, 0.4515029489994049], [0, 0.8910558223724365, 0.4719156324863434]]","[[0.03241859373973376, 0.006505492508268795, 0.009285891844244191], [0.02032747993634813, 0.004219000396642095, 0.0071125029957399485], [0.02351288351926911, 0.008377690053278096, 0.009988641868501106], [0.019820232255148486, 0.004927678452507344, 0.006580716482123691]]","[[0.036492438244037056, 0.046606584582214845, 0.057864363839832365], [0.03710444918395299, 0.0544089300860811, 0.06872200503535944], [0.03958503551206116, 0.0563342832716229, 0.07026510381725651], [0.03904368547619039, 0.05401729073445935, 0.0683259443684409]]"
18,"[[0, 0.5814566612243652, 0.9273934960365295], [0, 0.5455780029296875, 0.8853297829627991], [0, 0.5555477142333984, 0.8947523236274719], [0, 0.5455780029296875, 0.8853297829627991]]","[[0, 0.557377278804779, 0.8790426850318909], [0, 0.5334543585777283, 0.848039448261261], [0, 0.5237939357757568, 0.8354583382606506], [0, 0.5334543585777283, 0.848039448261261]]","[[0.03282473681896646, 0.00869107802420395, 0.006642760997017522], [0.023622408642910035, 0.0053527573184098745, 0.006251923908306317], [0.024816702987926924, 0.008800781414352216, 0.008503036499107705], [0.02527953782195075, 0.006082778034034692, 0.004489949565085863]]","[[0.03724279545027833, 0.04227836760364555, 0.047189207791315], [0.040530105172546585, 0.0545236860448094, 0.05803910701912571], [0.03924299491451774, 0.05360427058019425, 0.0581670567728354], [0.038767317409252926, 0.048948045481448786, 0.061574809802214005]]"
19,"[[1.0170751810073853, 0, 0], [1.0011298656463623, 0, 0], [1.0336244106292725, 0, 0], [1.0011298656463623, 0, 0]]","[[0.9233802556991577, 0, 0], [0.9365958571434021, 0, 0], [0.8751725554466248, 0, 0], [0.9365958571434021, 0, 0]]","[[0.005830852791337837, 0.010931231710416399, 0.012988772104392643], [0.0031956337923145918, 0.0036549101068264894, 0.004634369031166816], [0.006347858101922291, 0.0040069819239069455, 0.004178976441800356], [0.003378746285684654, 0.004462038913643986, 0.004851082055610164]]","[[0.022431568089978076, 0.04818236852288926, 0.0652025483247441], [0.023061003748435675, 0.054247607061009985, 0.06881822187690076], [0.023528904847584336, 0.05447093263718075, 0.0644894592469883], [0.024700550382853143, 0.056011405517521436, 0.06453933198349447]]"
