epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.000015377998352, 4.535884857177734, 4.566498279571533], [14023.208984375, 19571.87109375, 17079.26953125]]","[[0.9999810457229614, 0.5094801783561707, 0.6055439114570618], [0, 0, 0]]","[[0.13837489419296045, 0.2160003436504959, 1.4761072307491168], [0.1093250242013025, 0.8112668899820296, 0.10689935302318922]]","[[0.03792886593165015, 1.5937109210792584, 1.597556826363777], [0.3724990531895995, 0.5459776913281711, 1.4078945712115802]]"
1,"[[6.81957483291626, 7.767951488494873, 7.8607306480407715], [1379.4552001953125, 1171.94140625, 1084.69140625]]","[[0, 0, 0], [0, 0, 0]]","[[0.4884058559079928, 1.1424730691652676, 0.1655563877125504], [0.4867828215799436, 0.0008332969119906374, 0.003039454714032218]]","[[0.5522645840260364, 0.8249180480891323, 1.4105868927096952], [0.0810812194696569, 0.6999298415938933, 0.3448555037029996]]"
2,"[[29.932506561279297, 29.314252853393555, 32.18107223510742], [365.4391174316406, 229.2235870361328, 213.52024841308594]]","[[0, 0, 0], [0, 0, 0]]","[[0.2740306792019939, 0.7492548523572644, 0.40350784332289286], [0.32195732119657755, 0.0017966928932382894, 0.16096158827674473]]","[[1.4759373604887203, 0.6390335344583723, 1.4694180774388406], [0.5451200020531196, 0.8011164039273646, 1.2767636877542188]]"
