epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [0, 1.0, 0.349071741104126], [0, 0.3817182183265686, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6042893528938293], [0, 0.7633721232414246, 1.0]]","[[0.0053470095432553025, 0.08847019537759752, 0.029604070661957763], [0.0846339748133241, 0.02060071362201139, 0.028838826232695007], [0.10256367157583206, 0.14440343633722344, 0.016512077575834436]]","[[0.013340006636059283, 0.04689608091665616, 0.07969546065315466], [0.032363718620268676, 0.014141557756367731, 0.03396191893228974], [0.04758096061559857, 0.031896636322528975, 0.024811216279427055]]"
1,"[[11.20552921295166, 0, 0], [10.909660339355469, 0, 0], [10.49132251739502, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.04082865989704604, 0.08687790042715293, 0.1370455762889024], [0.07248710627567938, 0.05886285970138864, 0.08912158396805943], [0.05222061890632081, 0.0498665350697903, 0.0359815967418698]]","[[0.0697873272024739, 0.09853817130946997, 0.1468456481895754], [0.056389286464835146, 0.10079117050545854, 0.12628894683518024], [0.036614316792191605, 0.0858218871129435, 0.10073773312437961]]"
2,"[[0, 3.0953528881073, 0.08704659342765808], [0, 2.735187530517578, 0.18420590460300446], [0, 2.335972547531128, 0.06376126408576965]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.01432725975708507, 0.05640429497851542, 0.05939661225777633], [0.02232311536579381, 0.031996894002324965, 0.0760203087965563], [0.056652585935121645, 0.02976979530777346, 0.05353791641714011]]","[[0.06080132821822076, 0.09840603066447451, 0.10637789040376344], [0.050737496523944096, 0.11621860115075387, 0.12313995068959885], [0.07170346512872347, 0.07968868099830062, 0.12112120437747528]]"
