epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [40.85588073730469, 1.0, 0.5572073459625244], [43.57594299316406, 0.42621830105781555, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6251130700111389], [0, 0.43010103702545166, 1.0]]","[[0.009416765965584087, 0.023011649908345422, 0.0258913660655143], [0.08632083997245968, 0.15293319959337598, 0.06226372494850641], [0.09648620789672785, 0.24907885525522477, 0.033940765291686874]]","[[0.02510094524373948, 0.0423803750593701, 0.14121262740611037], [0.04613000992494361, 0.07392040182198902, 0.058905741454405386], [0.05400700978119617, 0.035633193291112863, 0.09059953374009388]]"
1,"[[4.82169246673584, 0.703909695148468, 0], [0, 1.9747079610824585, 0.2892020046710968], [0, 1.1713898181915283, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.04603458487149519, 0.13886795739620078, 0.03047644890107442], [0.11011704709928158, 0.11104360710352296, 0.28244333019919937], [0.30019523408601156, 0.1085469631981221, 0.0969764707104174]]","[[0.06652897470186382, 0.08753493273329968, 0.06122134422853224], [0.06617592316991068, 0.08886546009003543, 0.10197450361170707], [0.1088154025230649, 0.12474450954836842, 0.0870739412431031]]"
2,"[[113.24703979492188, 0.5219143033027649, 0], [115.48162078857422, 3.8102188110351562, 0], [96.77609252929688, 3.8619039058685303, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.31575264396249436, 0.14731517183459092, 0.18281518070573297], [0.15617295656713967, 0.1531285472268783, 0.19933155662007782], [0.08714735797328847, 0.07693971776688345, 0.07369043230723146]]","[[0.07188961759142057, 0.09192148701428134, 0.08954252143381605], [0.07675529609008148, 0.09816305513115405, 0.11907526415387742], [0.03705763441681313, 0.11092766623284014, 0.10390719795847694]]"
3,"[[107.71243286132812, 0, 2.540153980255127], [151.07830810546875, 0, 7.209229946136475], [113.9783935546875, 0, 7.815676212310791]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.14239595346549586, 0.14181164343163596, 0.08321872321681117], [0.16219474152958765, 0.17059564191804755, 0.22582660233110663], [0.11676539313435481, 0.09310252655040403, 0.08659937055608956]]","[[0.07640261409505059, 0.13896594155847655, 0.13855430894191367], [0.11368250639328911, 0.15207761793887598, 0.3668279527434365], [0.09248249752482679, 0.0962240302104099, 0.21113047775992988]]"
4,"[[0, 0.07697343826293945, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.1069233560097904, 0.08008756707989004, 0.06968399792415914], [0.04799311227577994, 0.10647992636343458, 0.06163885148356083], [0.03577930761291264, 0.044631190381133924, 0.04369128805138844]]","[[0.0764630961555624, 0.10978434079386273, 0.1526681602473623], [0.1773744531796902, 0.12560739887765096, 0.16438960212038972], [0.05874560442893942, 0.08106364573548883, 0.15166300809534836]]"
5,"[[81.9748764038086, 3.0440070629119873, 0], [77.79277801513672, 2.098426342010498, 0], [62.63657760620117, 1.4842756986618042, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.11352987361648033, 0.08481055625026734, 0.04252136747145703], [0.07379114632356909, 0.03738493287853408, 0.03546303704869549], [0.05864405885841214, 0.05928731513988914, 0.02856173189366442]]","[[0.13358627664900355, 0.3650137631882204, 0.1638411990871168], [0.20352338667629385, 0.13360701533031366, 0.33979621701506424], [0.11264298462943759, 0.08693384131964538, 0.09115419697114927]]"
6,"[[92.82559967041016, 0.6350457668304443, 4.435692310333252], [69.78638458251953, 0, 3.3746774196624756], [64.96246337890625, 0.8851982951164246, 2.3337249755859375]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.11939325866843092, 0.09431516508236092, 0.07289200476111946], [0.0032193203807444662, 0.006452064338966941, 0.02333820257830015], [0.03899980539403827, 0.025752731611257653, 0.06591335946613572]]","[[0.103754045418625, 0.10288571812398409, 0.09284929247818902], [0.0627645307063194, 0.12128772529728839, 0.1551380947314622], [0.04396877819091287, 0.10349894147041311, 0.08378700236515683]]"
7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.08811049941418865, 0.0577632928747078, 0.05231827791244981], [9.100299768816693e-08, 9.081704492071542e-08, 9.074077126780332e-08], [0.07347922435998701, 0.011015093528011258, 0.01459549614603146]]","[[0.08241361347982235, 0.15897784453541922, 0.07054624963155372], [0.03521913815143172, 0.3905685070563362, 0.12012493549531923], [0.04658240642357853, 0.07881508672513189, 0.07212356145668329]]"
8,"[[73.15477752685547, 2.765943765640259, 0.09938661009073257], [43.9935302734375, 0, 0], [56.20510482788086, 1.8667398691177368, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.061569893331495366, 0.08224573090917212, 0.0348790123842188], [9.111912915789578e-08, 9.073086614542481e-08, 9.065039703323968e-08], [0.06696085209181232, 0.011321817940294467, 0.009481156111798426]]","[[0.04471548589609522, 0.0658262615635295, 0.05712399007484037], [0.0509965175914747, 0.13953506804517019, 0.11265786773223785], [0.06478729376598362, 0.07040280339459855, 0.08065688542421351]]"
9,"[[84.36771392822266, 1.813592791557312, 3.6078989505767822], [46.5477180480957, 0, 0], [56.006980895996094, 0.8383639454841614, 1.7740987539291382]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.045323011584096025, 0.03933040522423995, 0.05415727014649117], [9.133059792935695e-08, 9.090142338357944e-08, 9.060777976266046e-08], [0.04195896576930932, 0.016431724672577596, 0.007582526342602922]]","[[0.19358043738532743, 0.0835357581324493, 0.12538619873663887], [0.05263708658182919, 0.08547651796618222, 0.2183202125478701], [0.050891713370227944, 0.06416209472684703, 0.0926805351773308]]"
