epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[11.716984748840332, 0, 0], [3.1454501152038574, 0, 0]]","[[0, 0, 0], [0, 0, 0]]","[[0.004854479641904827, 0.03702042941803256, 0.015505501291181757], [9.050029631801799e-08, 8.961636811883103e-08, 9.035053774349983e-08]]","[[0.05730420827080691, 0.10994013838127456, 0.12695056875643163], [0.0555338470202985, 0.12258357479896953, 0.13192409158016713]]"
1,"[[0, 2.154465675354004, 0], [0, 0, 0]]","[[0, 0.021587705239653587, 0], [0, 0, 0]]","[[0.00925198713590921, 0.0035337508807907485, 0.0054512008835253195], [9.040311939317321e-08, 9.019722216116994e-08, 9.036447055273681e-08]]","[[0.11325087159576411, 0.15278143717586645, 0.12773293357189197], [0.06414506062984728, 0.13097804546520306, 0.12841848682622922]]"
2,"[[0, 2.1943790912628174, 0], [0, 0, 0]]","[[0, 0.040608324110507965, 0], [0, 0, 0]]","[[0.002856724252641653, 0.02765642010124131, 0.0002850934095796325], [9.039538538484937e-08, 9.039440852413658e-08, 9.036357869225633e-08]]","[[0.0835506652963704, 0.12912130828025042, 0.1474284185079585], [0.05393121197209944, 0.1430528845722851, 0.187809754177177]]"
