epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [40.85588073730469, 1.0, 0.5572073459625244], [43.57594299316406, 0.42621830105781555, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6251130700111389], [0, 0.43010103702545166, 1.0]]","[[0.0928649507243869, 0.03340140866638908, 0.03178090357821102], [0.3228781054011884, 0.03225181668348403, 0.2794152771475449], [0.07907389272998626, 0.09382941826194849, 0.027076923529257]]","[[0.016393496172956153, 0.07722362685158461, 0.10629290972470015], [0.045018789212288746, 0.02370403050406361, 0.03965551973355058], [0.1456565312082632, 0.044693953875187604, 0.038105799256853375]]"
1,"[[13.772857666015625, 0, 0], [60.792049407958984, 0, 0], [53.7360954284668, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.077605598949325, 0.021748838787515073, 0.07570870506170554], [0.22981181582138788, 0.17064480099234677, 0.15044369237476152], [0.1735878083575059, 0.11266361606483656, 0.214505846053454]]","[[0.08208839517551841, 0.04820194663301882, 0.10888549601507118], [0.08306180892221231, 0.22852728175539871, 0.13658866753310636], [0.07043380321882488, 0.15282731156943472, 0.3317122887745309]]"
2,"[[63.24761962890625, 0, 0], [102.79692840576172, 0, 0], [102.51182556152344, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.16890768783687127, 0.4597697494221608, 0.13981782840835302], [0.18625650826428033, 0.09700690769469016, 0.1777549161469488], [0.21151506948271673, 0.161273504540462, 0.13593970839788205]]","[[0.07940248256363928, 0.4533702078999429, 0.10283132793829841], [0.08345965149054918, 0.09035478035013982, 0.08930746988028297], [0.14834268670358677, 0.11353131843921664, 0.40029496801735853]]"
