epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0000616312026978, 0, 0], [0, 0, 0], [1.0001180171966553, 0, 0], [0, 0, 0], [1.0001745223999023, 0, 0], [0, 0, 0]]","[[1.0001236200332642, 0, 0], [0, 0, 0], [1.000241756439209, 0, 0], [0, 0, 0], [1.000370979309082, 0, 0], [0, 0, 0]]","[[0.018416459050766932, 0.036478578418887936, 0.10845528548511071], [0.018742807311084093, 9.037930635025834e-08, 9.040080577833164e-08], [0.010452886660015561, 0.12389432614798666, 0.03560539109479293], [0.0643658016094905, 0.03998113002730776, 0.03205577627155611], [0.010358495447653498, 0.013667932363733936, 0.014550387238368271], [0.06609287059620049, 0.026159716701451185, 0.01370271288396162]]","[[0.006896686072958291, 0.05024979728987534, 0.060105503770384455], [0.0737680055706638, 0.1188492836230793, 0.1402255305390194], [0.011697901723010176, 0.06358236819727517, 0.06349709230700504], [0.09585840317035665, 0.12524675307149039, 0.14815657142431193], [0.05372839136722286, 0.050979239365709035, 0.07368644470549388], [0.29930265157087077, 0.1666439234199543, 0.13564890380650585]]"
1,"[[11.207890510559082, 0, 0], [3.1454501152038574, 0, 0], [15.144895553588867, 0, 0], [2.467278242111206, 0, 0], [10.341349601745605, 0, 0], [3.7641382217407227, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.05144204028824866, 0.1518560008727611, 0.054690882511579615], [9.045214661180288e-08, 8.963282487100998e-08, 9.046053401183106e-08], [0.037178963044668764, 0.028994084699652353, 0.02109185290525512], [0.018785553247750143, 0.006558592431897882, 0.0036134712095594952], [0.018391781167103067, 0.008567733948036588, 0.007270899669755464], [1.1115683449608566e-07, 0.001727815776908763, 0.0022455220953995774]]","[[0.07298417836449013, 0.1053466625289514, 0.14733474496545473], [0.0829106888177094, 0.12788993796054288, 0.15449514200584083], [0.05400023377392366, 0.11917527360786852, 0.1439123647775661], [0.07210541385148432, 0.11841445161238316, 0.12175327507724115], [0.0692129321043813, 0.12511950688396098, 0.1740437008121854], [0.09663622484534422, 0.15944209989968464, 0.1649209747349172]]"
2,"[[0, 3.0936591625213623, 0.08577247709035873], [0, 0, 0], [0, 1.7253631353378296, 0], [0, 1.2943449020385742, 0.06645247340202332], [0, 0.11171737313270569, 0], [0, 0.11746480315923691, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0.5216087102890015, 0], [0, 0, 0], [0, 0, 0]]","[[0.02691450213384307, 0.04727134094091954, 0.02696004624350241], [9.042312219784534e-08, 9.03792218178922e-08, 9.037625406866082e-08], [0.04006589682895189, 0.026854492582847077, 0.020914227584760105], [0.009482081725406575, 0.0035054419100526302, 0.009354547550461318], [0.025939347017305738, 0.016707879865754376, 0.02110510187969948], [9.045875595530262e-08, 9.039609149769779e-08, 9.03645892397754e-08]]","[[0.06855622860687363, 0.10844749225368228, 0.18021749693330733], [0.0752361220207994, 0.12129460598064798, 0.13594593796581847], [0.06650211095258647, 0.11368589354388632, 0.15491329981307952], [0.04810272415993856, 0.08868381400390984, 0.11399753528905059], [0.08609606083213006, 0.1514407513816635, 0.1323877378909085], [0.06010386208640242, 0.11425286300500268, 0.13764318380337595]]"
3,"[[0, 0.07804174721240997, 1.8836511373519897], [0, 0, 0], [0, 0, 1.5040104389190674], [0, 0.41247430443763733, 1.0027188062667847], [0, 0, 0.10756296664476395], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0.403567373752594, 0.44161245226860046], [0, 0, 0], [0, 0, 0]]","[[0.006311428416143288, 0.02279411750075424, 0.0384822759886181], [9.045431986942184e-08, 9.033757674185009e-08, 9.034247131287598e-08], [0.03183293772544004, 0.016997426022107357, 0.024920949168239222], [0.019169421711838348, 0.003927557621670064, 0.012937827627215884], [0.02569353332885816, 0.01941992814943585, 0.01659510014577812], [9.047748356530136e-08, 9.03369724092948e-08, 9.031325780448973e-08]]","[[0.07445336102374914, 0.08722171527327122, 0.1520316700786162], [0.06357679743355757, 0.1325325290157423, 0.15464097268070284], [0.07819713253207798, 0.10874102310914062, 0.17381005861693893], [0.037440123159296484, 0.06689788757498948, 0.09214089610838433], [0.08267379912541568, 0.11945909863070346, 0.18339209785929422], [0.07600384510927793, 0.16294534080001155, 0.14006048317297845]]"
4,"[[4.661037445068359, 0, 0], [0, 0, 0], [3.3775134086608887, 0, 0], [1.967095971107483, 0, 0], [0.9620551466941833, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[2.079593010875731e-06, 5.422162640076523e-06, 0.002193764454632358], [9.042110233273235e-08, 9.043133985741226e-08, 9.031147554643285e-08], [0.011288767649265176, 0.007260987680025675, 0.0064448424092763005], [0.015045204519236587, 0.006113956447284675, 0.009947060546753216], [0.018834793015960402, 0.015140484792390375, 0.010434237224350912], [9.041121185978659e-08, 9.036841697886467e-08, 9.039823904362605e-08]]","[[0.10544187361677619, 0.1165643953216923, 0.14978976934234406], [0.06179644733499021, 0.12330217079280137, 0.1572176980180381], [0.061211814110190436, 0.15831192769619767, 0.1661484645086463], [0.04615581297294276, 0.06624010450034985, 0.12893310900485574], [0.06493871020532814, 0.1278596536793907, 0.20725158111385542], [0.06375782065120268, 0.128573155582518, 0.17589985075869374]]"
5,"[[0, 0.5408977270126343, 0], [0, 0, 0], [0, 0.10015834867954254, 0], [0, 1.0608131885528564, 0.29384559392929077], [0, 0.15218083560466766, 0], [0, 0, 0]]","[[0, 0.03315667808055878, 0], [0, 0, 0], [0, 0, 0], [0, 0.5391303300857544, 0.006443425547331572], [0, 0, 0], [0, 0, 0]]","[[0.0015125670093398336, 0.003509902188466016, 0.004820986605153887], [9.039690119060614e-08, 9.033162347612165e-08, 9.036266008920601e-08], [0.011487881149181495, 0.010492783576108018, 0.01119204761361523], [0.01599051070607826, 0.00731032191140702, 0.004800976126575643], [0.022052116834423437, 0.01890951474275538, 0.02362503121492201], [9.044000911474614e-08, 9.032804268265574e-08, 9.033867095816918e-08]]","[[0.06449799725041756, 0.12599629545733984, 0.13549817813890686], [0.09308617252186725, 0.1175349130199992, 0.1706606005317117], [0.0715995591805442, 0.11467474098806978, 0.14039729585120855], [0.0432348348697981, 0.09198137007659117, 0.10522770372040592], [0.05278692563894197, 0.12953665595050318, 0.13946199300606654], [0.06886702886342183, 0.12492614014687466, 0.1324817786521944]]"
6,"[[0, 0, 0.7370142340660095], [0, 0, 0], [0, 0, 0.1665036380290985], [0, 0.4100887179374695, 1.0019261837005615], [0, 0, 0.18433131277561188], [0, 0, 0]]","[[0, 0, 0.10378119349479675], [0, 0, 0], [0, 0, 0], [0, 0.401650607585907, 0.44039860367774963], [0, 0, 0], [0, 0, 0]]","[[0.003213541693114537, 0.024054503514675377, 0.03640823160426346], [9.045486778632822e-08, 9.016258955157969e-08, 9.039584467987012e-08], [0.00899121514309807, 0.009209397667471836, 0.013884886226499327], [0.02436860725382686, 0.005119582993539982, 0.006014998977568228], [0.01727266366485849, 0.015543940371446725, 0.019472124458621915], [9.046425440692231e-08, 9.022230549596162e-08, 9.033181831785022e-08]]","[[0.07125660731406779, 0.11767464372336628, 0.14825515969214526], [0.09575336318450932, 0.12576031563551254, 0.12652680476653758], [0.06447183482056816, 0.12335734093130646, 0.12978310797093676], [0.04206126952842504, 0.0859227218553046, 0.09415796638050634], [0.06981292344051127, 0.12609069148350477, 0.16764822710383334], [0.0748956445112531, 0.1241973878202667, 0.15923781068902504]]"
7,"[[0.5701995491981506, 0, 0], [0, 0, 0], [1.1384536027908325, 0, 0], [1.9668495655059814, 0, 0], [1.4017422199249268, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.01253331694818431, 0.010395482490505236, 0.0007541277737924822], [9.042104139488049e-08, 9.040388195018643e-08, 9.030439071854965e-08], [9.541236274018927e-08, 9.633902006549932e-08, 9.540844212908968e-08], [0.035261365330450906, 0.0064651492982775866, 0.011453902446833966], [0.0038473678362365787, 0.010198154032942915, 0.010974127916315808], [9.045123414026038e-08, 8.940092302593547e-08, 9.037820618864956e-08]]","[[0.0968416266299782, 0.13141013190024853, 0.13409316246976816], [0.06744061724749933, 0.14263033594090138, 0.14204525179756267], [0.06240731576464365, 0.11657532832460828, 0.15523687889385238], [0.05201427083163222, 0.06876993656327435, 0.11028244255958007], [0.07198813684669438, 0.11977999381515016, 0.17035410494660105], [0.07666027935710389, 0.11156423928719816, 0.16678833752670355]]"
8,"[[0, 0.36692339181900024, 0], [0, 0, 0], [0, 0, 0], [0, 1.0608131885528564, 0.29384809732437134], [0, 0.42297229170799255, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0.5391290187835693, 0.006443425547331572], [0, 0, 0], [0, 0, 0]]","[[9.040119652820727e-08, 9.027059229761058e-08, 9.035411333023593e-08], [9.04727432420122e-08, 9.0250471297633e-08, 9.036665239114784e-08], [9.545108540831946e-08, 9.525223393263874e-08, 9.541333880670935e-08], [0.01808883577323867, 0.004598184394459789, 0.009464432292722244], [9.71549126876183e-08, 0.00025943899509953225, 9.701990883913899e-08], [9.040411185858163e-08, 9.032446618588852e-08, 9.039246512607795e-08]]","[[0.1029862405529267, 0.11689527575466042, 0.1369628982849305], [0.06398398895940968, 0.14262818969856228, 0.16756116799144732], [0.09048164620924869, 0.11907931069454997, 0.169421614899248], [0.04727621352505478, 0.0998166153618031, 0.09208259749193577], [0.07937308943700912, 0.10576272704598917, 0.1282064872625875], [0.07684433194307495, 0.12551295182329927, 0.15967691762548525]]"
9,"[[0, 0, 0.20661841332912445], [0, 0, 0], [0, 0, 0], [0, 0.4100887179374695, 1.0019311904907227], [0, 0, 0.10938385874032974], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0.401650607585907, 0.44039860367774963], [0, 0, 0], [0, 0, 0]]","[[9.04821060870414e-08, 9.010716432716075e-08, 9.034280193599268e-08], [9.043268308240912e-08, 9.036971872838218e-08, 9.038147582210104e-08], [9.552601727539202e-08, 9.523869481829922e-08, 9.535473545621822e-08], [0.018866302841484935, 0.005899585449435335, 0.0070553498705568755], [9.714697201394327e-08, 9.707716472129317e-08, 9.708257823121343e-08], [9.041689128518628e-08, 9.02318302025615e-08, 9.034294917476263e-08]]","[[0.0693031802627416, 0.12593564624076556, 0.1640859756415652], [0.06951914347859338, 0.11851669896583082, 0.18826229777379044], [0.08380930551306214, 0.1554827462353648, 0.15315280853259725], [0.0688733828695217, 0.07537346141712542, 0.11015297182030873], [0.07287834433439397, 0.1432310197790406, 0.12285078769237047], [0.06346806894600762, 0.1144892238848029, 0.14795511951914705]]"
