T->S Decoding,S->T Decoding,S0,S1,S00,S01,S11,T0,T1,T2,T->S Decoding
T0,['T0'],[8.41543316e-08 1.51037439e-01],[8.41119079e-08 2.81735006e-01],[0.00344398 0.03949168],[0.00391547 0.06677604],[0.00368405 0.06086637],[0.02948552],[0.03301962],[0.07650172],['T0']
T1,['T1'],[8.40942459e-08 8.53872989e-02],[8.41080292e-08 4.93559545e-02],[0.00378648 0.03970469],[0.00331763 0.05732679],[0.00333328 0.04042709],[0.03160387],[0.01333357],[0.11049409],['T1']
T2,['T2'],[8.40414797e-08 7.84447670e-02],[8.40711045e-08 8.56864008e-02],[8.41271169e-08 5.99932857e-03],[8.43267611e-08 1.19903042e-01],[8.39546733e-08 3.27579479e-03],[0.05458332],[0.05839996],[0.01137216],['T2']
