epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0000616312026978, 0, 0], [0, 0, 0]]","[[1.0001236200332642, 0, 0], [0, 0, 0]]","[[0.018416459050766932, 0.036478578418887936, 0.10845528548511071], [0.09700471372109828, 0.060603656772674604, 0.05657914262465264]]","[[0.006896686072958291, 0.05024979728987534, 0.060105503770384455], [0.0664294726148211, 0.1105950146172031, 0.1465397190912685]]"
1,"[[11.207890510559082, 0, 0], [2.7886905670166016, 0, 0]]","[[0, 0, 0], [0, 0, 0]]","[[0.05071424581558279, 0.07282787613317934, 0.1015831023562956], [0.0329626328820756, 0.025180755161035035, 0.021019659984692136]]","[[0.06919128217767434, 0.11985064360614027, 0.14638215964150633], [0.05708694404139775, 0.10305884860080257, 0.1349621673845672]]"
2,"[[0, 3.0936591625213623, 0.08577247709035873], [0, 1.2495571374893188, 0.25257205963134766]]","[[0, 0, 0], [0, 0.44294866919517517, 0]]","[[0.03350578056703783, 0.059183424216343476, 0.44777454134960243], [0.016554500219785724, 0.007937755399230894, 0.01187863043158247]]","[[0.053925732512644105, 0.1124805662912087, 0.11143156427485419], [0.04857645609597716, 0.09305256108405764, 0.12964098370641713]]"
