epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
10,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.631835401058197, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312558054924011, 0.9832531213760376]]","[[0.05803217769343365, 0.013949281509909534, 0.0024188808836300103], [0.05827434748406268, 0.01415010740985942, 0.002343279096680375], [0.055967753303049726, 0.0145443044935423, 0.0033146513254819756]]","[[0.030548235441436675, 0.015797307427361015, 0.00422414528085816], [0.030262306014153292, 0.015988047739842793, 0.004782389339238929], [0.0312682003515715, 0.01952800089718772, 0.008944288699411069]]"
11,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378675699234009, 0.9983776807785034], [0, 0.6318371891975403, 0.9903569221496582]]","[[0, 0.6378931999206543, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312540173530579, 0.9832531213760376]]","[[0.05818033692503651, 0.014484864070929715, 0.002189900067777738], [0.05831973444739198, 0.014260508235736885, 0.0023374059092487695], [0.05515638669464599, 0.014697439717914974, 0.0035498204491233626]]","[[0.029741243469539564, 0.015823283727860283, 0.004231397999814428], [0.030021710180538654, 0.01511688241154657, 0.00478403545998613], [0.03177431145899981, 0.020801592823489774, 0.008532573668864615]]"
12,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.631835401058197, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312540173530579, 0.9832531213760376]]","[[0.058800351436562426, 0.013785815049748296, 0.0023170441937306586], [0.05832058595174088, 0.014116124242148208, 0.0023627521179203498], [0.055862263822041076, 0.013953245509980734, 0.003310541361176639]]","[[0.03017346154403818, 0.015236750618052578, 0.004586572736177485], [0.030694049001624594, 0.015564441235005886, 0.004489494884212642], [0.0308154516025862, 0.01933929191680685, 0.009265070519260177]]"
13,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378675699234009, 0.9983776807785034], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.6378931999206543, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312522292137146, 0.9832515120506287]]","[[0.0589833609343257, 0.014146711328874257, 0.0023650391661722186], [0.058871787045839036, 0.014475029481574564, 0.0022325249146145413], [0.05671359286397648, 0.014405046802716188, 0.0031619672458725982]]","[[0.0309697343307728, 0.015417945978674621, 0.004164696576016067], [0.030772546150623907, 0.015149399366929384, 0.004598490823817656], [0.031468631782656846, 0.020247331594194017, 0.00888516178112071]]"
14,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378675699234009, 0.9983760118484497], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926015138626099], [0, 0.6312540173530579, 0.9832531213760376]]","[[0.059602844610143736, 0.01438437787961169, 0.0023552037481183712], [0.05888464376782455, 0.013614374514322944, 0.00226163467498323], [0.05694870169974875, 0.014389248307437097, 0.0033240295724042508]]","[[0.03063243642770424, 0.015743992913144444, 0.004227986703783319], [0.02959576726287334, 0.015543464809031115, 0.004497124493150129], [0.03118386301250063, 0.019675560389614474, 0.008630260749317623]]"
15,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312540173530579, 0.9832531213760376]]","[[0.05909037563455601, 0.014572348497484046, 0.0024705838264746714], [0.05826791479607384, 0.014497295019033287, 0.0023283043584069714], [0.05521091355997134, 0.013555676160199223, 0.00306391445307525]]","[[0.030231475190073756, 0.015441626980525236, 0.004326473962535404], [0.030554374427458293, 0.015562907871003487, 0.0042675606582386555], [0.030977423063128614, 0.01984240824693776, 0.008993954106941895]]"
16,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983760118484497], [0, 0.6318371891975403, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312558054924011, 0.9832547903060913]]","[[0.05821818035046176, 0.01387338965608814, 0.0022453902701790535], [0.05915971110002059, 0.014225051030897561, 0.0023467096573520497], [0.05633955782630924, 0.0143788163861652, 0.0034122864095349342]]","[[0.02975159387085495, 0.015183542986757989, 0.00428573060685515], [0.03028744449514008, 0.015388516532003528, 0.004213201467731158], [0.031470105935692404, 0.020196072525705665, 0.008573458478751591]]"
17,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312540173530579, 0.9832531213760376]]","[[0.05934272892964663, 0.014372036325443717, 0.0022276328025206604], [0.057438160926872525, 0.01398323533855756, 0.0023583278331228835], [0.05595172877161912, 0.014086214862693952, 0.0033167154394569067]]","[[0.029248841943192175, 0.015075679217938183, 0.004556290367179929], [0.030284659529709237, 0.014244578560994422, 0.00440579311838392], [0.030796446010117523, 0.019875227300999904, 0.009068758831113917]]"
18,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.6378931999206543, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312540173530579, 0.9832531213760376]]","[[0.05816033269789435, 0.014149359450524823, 0.002337382267102751], [0.05937074332036221, 0.014222245065792512, 0.0023601792894999392], [0.05549593443322741, 0.013818094961327841, 0.0030945049560820947]]","[[0.029408817976482614, 0.015180299757304687, 0.004009921208401964], [0.030878791644728645, 0.015838020684065108, 0.004240738102358947], [0.03113454671642143, 0.019993238305397412, 0.009012240661474935]]"
19,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378675699234009, 0.9983760118484497], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312558054924011, 0.9832531213760376]]","[[0.058134665566113526, 0.014351559870363904, 0.0023524011878931256], [0.05848620927527104, 0.01399406259981647, 0.002417087020958114], [0.05523497870942677, 0.014188747659718257, 0.0033058675553492324]]","[[0.030620863398155857, 0.015271822834037666, 0.004455817103100971], [0.031119345522111177, 0.015004652953854725, 0.004177686928858518], [0.030843701924921224, 0.020041695755917025, 0.009060308898199998]]"
