epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[11.637121200561523, 0, 0], [13.405447959899902, 0, 0], [12.952327728271484, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.042467878442017055, 0.033928408700117874, 0.05762096785519676], [0.06160845809641191, 0.051824757740390255, 0.04431398382641106], [0.034746627946557675, 0.025081966164280312, 0.006189570254610671]]","[[0.07827742811745597, 0.11473885581485394, 0.15198291427592406], [0.05733268490134283, 0.08182650395204281, 0.1355117048400678], [0.04441751453318557, 0.11254919528202803, 0.1097474546665745]]"
1,"[[0, 0, 1.9547661542892456], [0, 0.20054815709590912, 2.4312150478363037], [0, 0.4479351043701172, 2.7277417182922363]]","[[0, 0, 0], [0, 0, 0], [0, 0.4046854078769684, 0.33303317427635193]]","[[0.013144913278479877, 0.004928014406029622, 0.019469020523112324], [0.04290742568122072, 0.03305045446397317, 0.005618636901804468], [0.09271675380824765, 0.02675615701595249, 0.007329508571284763]]","[[0.07801912101040724, 0.13184946397568117, 0.17429297333159524], [0.09280492036424495, 0.10409196515315798, 0.13028136596384834], [0.05811159370690097, 0.06637302144263679, 0.11599350449854136]]"
2,"[[0, 0, 1.952340841293335], [0, 0.21449965238571167, 2.5417075157165527], [0, 0.44706201553344727, 2.733011245727539]]","[[0, 0, 0], [0, 0, 0.007913308218121529], [0, 0.40037232637405396, 0.3321293890476227]]","[[0.008273108462499046, 0.001072271044714546, 0.01795191171161356], [0.032288710940532185, 0.023837236050735913, 0.007231876116050102], [0.024601955450204202, 0.048457931386588916, 0.014184506464879223]]","[[0.2106938965148315, 0.11141453687687038, 0.13297395457153033], [0.05032341792602766, 0.08599792001286223, 0.09116338977871119], [0.049905635895658045, 0.07721573697073901, 0.10238944178752728]]"
