epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.4589775800704956, 0, 0], [0.08724375069141388, 0, 0], [2.1366069316864014, 0, 0], [1.1142823696136475, 0, 0]]","[[0.8504636287689209, 0, 0], [0, 0, 0], [0.576935350894928, 0, 0], [0.9030925035476685, 0, 0]]","[[0.010329195105918365, 0.044869331856407714, 0.04927987412277195], [9.003816019432384e-08, 9.004763988414118e-08, 9.004731599870859e-08], [0.020012660580835114, 0.01523307661915314, 0.013365412602939043], [0.0014897349129087173, 0.0027495835638883716, 0.005792384637911107]]","[[0.02637205609370827, 0.06767122508410726, 0.08636861776678852], [0.0812558838316722, 0.14116821374085015, 0.14962808617636822], [0.030902503925765133, 0.057263562374614184, 0.06625126684874813], [0.025180646987726586, 0.06637492186622365, 0.07184083455402192]]"
1,"[[0, 1.0423579216003418, 0.5853481888771057], [0, 0, 0], [0, 1.0903773307800293, 0.5664464235305786], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9162351489067078, 0.47057342529296875], [0, 0, 0], [0, 0.8450673818588257, 0.41661542654037476], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.035603332087465106, 0.014603481648861993, 0.01809898526859017], [9.00500534522098e-08, 9.004178077646755e-08, 9.004519838184184e-08], [0.030405798688154385, 0.012611148441485122, 0.012770939581725075], [0.012069359562538684, 0.002923738042326396, 0.003011228348175644]]","[[0.03748483904031341, 0.04368766829806738, 0.060012324503476794], [0.07661590064010648, 0.14073844528831034, 0.15880892255350765], [0.04069139807128262, 0.05680288460058153, 0.06750095627099377], [0.039275949200110155, 0.0714262240861843, 0.08257132739554421]]"
2,"[[0, 1.0477632284164429, 0.5860130190849304], [0, 0, 0], [0, 1.0938477516174316, 0.5532982349395752], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9098058938980103, 0.46201446652412415], [0, 0, 0], [0, 0.8488230109214783, 0.42179545760154724], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.036076602776713686, 0.011650073297364448, 0.016439083922961572], [9.006046411560408e-08, 9.002948802757546e-08, 9.003442974395231e-08], [0.02875850817250208, 0.014094630074856358, 0.012442030436621156], [0.01189842807477911, 0.0029819288258631006, 0.0031792136314893493]]","[[0.03818418714162312, 0.04826426603552115, 0.058434006475945106], [0.08574318751499112, 0.14372574786118986, 0.15764645711014577], [0.04030765206663903, 0.052224192067804105, 0.06372602052996362], [0.03869196092414593, 0.07610010177270354, 0.08708879554556698]]"
3,"[[0, 1.0485095977783203, 0.5838323831558228], [0, 0, 0], [0, 1.0928822755813599, 0.5555617809295654], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9158201217651367, 0.4731559455394745], [0, 0, 0], [0, 0.8502330183982849, 0.4227168560028076], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.036087632884495596, 0.011831497507206886, 0.013888052031449324], [9.00620849292416e-08, 9.003878356308423e-08, 9.005696119011336e-08], [0.030548049780119595, 0.013068194071532015, 0.013130657606879117], [0.012895975344408046, 0.0016354602528158742, 0.003889624541666386]]","[[0.037052843529226845, 0.04640838672276923, 0.05961229938001943], [0.07999631355721322, 0.14367385304873237, 0.15351805906339128], [0.041356120219746835, 0.06053272335503427, 0.06333032648438261], [0.04362952481982535, 0.07459693894324076, 0.08479335235019173]]"
4,"[[0, 1.0492115020751953, 0.5876455903053284], [0, 0, 0], [0, 1.0937901735305786, 0.5565277338027954], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9190309643745422, 0.4754485785961151], [0, 0, 0], [0, 0.8495808243751526, 0.4198077619075775], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.03773981851272105, 0.00909485322681242, 0.01017717774116327], [9.005014517495741e-08, 9.004029738326798e-08, 9.00403153743498e-08], [0.029164952506838322, 0.011494937702897555, 0.012592026946352143], [0.01230107614510562, 0.002769364272615709, 0.0032074492951926817]]","[[0.03910163286820999, 0.04830498964772992, 0.06061109580147941], [0.0830424954559306, 0.1427828148159151, 0.14861510913183842], [0.03924569168474968, 0.05435960327775336, 0.06532169631682548], [0.04229723947896537, 0.07295166724249233, 0.07912686278695288]]"
5,"[[0, 1.0544997453689575, 0.5800192356109619], [0, 0, 0], [0, 1.099161982536316, 0.5581569075584412], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9185381531715393, 0.4711299240589142], [0, 0, 0], [0, 0.8512779474258423, 0.42158886790275574], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.03775297896245262, 0.007957781037490053, 0.008786382648466646], [9.003701481493012e-08, 9.003906742745455e-08, 9.005097809298638e-08], [0.031644016083037754, 0.010689806400677522, 0.012676645065978426], [0.012546271563508323, 0.0017508860716358536, 0.0031869965235428047]]","[[0.04052386140623054, 0.04702912554645815, 0.056735530372939505], [0.08202257784538182, 0.14743087676721633, 0.15693413432100245], [0.03710912958824783, 0.05281884514403249, 0.06550183182679437], [0.04273402683274135, 0.06846795642854502, 0.07854157835393337]]"
6,"[[0, 1.0542583465576172, 0.5804066061973572], [0, 0, 0], [0, 1.0998175144195557, 0.5580114126205444], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9190402626991272, 0.4717264175415039], [0, 0, 0], [0, 0.85206538438797, 0.42245858907699585], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.03369763983536649, 0.008630808265009692, 0.010675981200577578], [9.005241453418319e-08, 9.00430276547143e-08, 9.001839370204943e-08], [0.028626794234843198, 0.01050841105393024, 0.012332828975401363], [0.013348635875026391, 0.0016918013284101345, 0.003815918648173401]]","[[0.04009028396180752, 0.04897860843107559, 0.06246384578283619], [0.07965729997804671, 0.1420302519495593, 0.15191812962686493], [0.03993946181744783, 0.051357343735668734, 0.060836400105263935], [0.03876269388528153, 0.07272103116200535, 0.0790329851936224]]"
7,"[[0, 1.0542564392089844, 0.5804134011268616], [0, 0, 0], [0, 1.1008405685424805, 0.5581737756729126], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9190550446510315, 0.4717563986778259], [0, 0, 0], [0, 0.8535828590393066, 0.4236965477466583], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.0381996253026176, 0.0062719610351945065, 0.01011948637878586], [9.004720953252934e-08, 9.002023626489728e-08, 9.004442961813169e-08], [0.028677383674783542, 0.011016580107215455, 0.011331183479011997], [0.012311612724937153, 0.0021070848104635842, 0.0029425202981466798]]","[[0.03922976363566956, 0.045235195269254035, 0.05586749324903828], [0.07871796745403481, 0.14283776813581656, 0.1553152390590664], [0.04072400198416241, 0.057293546480943626, 0.06551861256187125], [0.03950578267638547, 0.07559638719284882, 0.0855293555751914]]"
8,"[[0, 1.0542564392089844, 0.5804201364517212], [0, 0, 0], [0, 1.1016947031021118, 0.5583954453468323], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9190643429756165, 0.4717697203159332], [0, 0, 0], [0, 0.8545722365379333, 0.42434966564178467], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.03299936876857371, 0.006812394879913925, 0.011218959519150638], [9.004702664791038e-08, 9.00443803266805e-08, 9.004918887208415e-08], [0.02881363356525481, 0.009889474355101254, 0.011504576646447814], [0.01269577063313292, 0.001401855274179676, 0.003417106106028779]]","[[0.03987281471815727, 0.049993264322307676, 0.059779331389456694], [0.07860387896773456, 0.13740447606775008, 0.15363214674582357], [0.036543615802931216, 0.0561395481730382, 0.059834549655925474], [0.03992403882906383, 0.06774763950997562, 0.08378764916966484]]"
9,"[[0, 1.0542564392089844, 0.5804218649864197], [0, 0, 0], [0, 1.1023316383361816, 0.5581484436988831], [0, 0.8418038487434387, 0.4262046813964844]]","[[0, 0.9190643429756165, 0.4717697203159332], [0, 0, 0], [0, 0.8548130989074707, 0.4242746829986572], [0, 0.8158562183380127, 0.36230921745300293]]","[[0.03578162900013263, 0.006814088765936563, 0.012524500522668732], [9.005449553789033e-08, 9.00441683781103e-08, 9.002813908500967e-08], [0.026852326483952773, 0.010357179213487541, 0.010933717329013265], [0.012532752738485278, 0.003056677335423293, 0.004677412898414567]]","[[0.03927791460319263, 0.04979442582748743, 0.05816425809637936], [0.07971034377433692, 0.14017692160257736, 0.15985163389469534], [0.036113532650722646, 0.050456695425047236, 0.06323593184203319], [0.04235275019189616, 0.0726841909942255, 0.0849442256183661]]"
