epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [0, 1.0, 0.628416895866394], [0, 0.6442665457725525, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6182146668434143], [0, 0.6466298699378967, 1.0]]","[[0.0005211839954530634, 0.009766879578413169, 0.013698828590884572], [0.04653439595929901, 0.0008309186736511722, 0.011760753207442687], [0.06105525244973453, 0.014055790678646287, 0.0008371205879181318]]","[[0.0005243993763428833, 0.02418510855919978, 0.03894441335174285], [0.025784589743523535, 0.0008245876940907345, 0.015717715270815426], [0.02946323886581879, 0.013158035743555514, 0.0007715184281757052]]"
1,"[[1.015103816986084, 0, 0], [1.0149608850479126, 0, 0], [1.015012502670288, 0, 0]]","[[0.9846745729446411, 0, 0], [0.9832543730735779, 0, 0], [0.9808617234230042, 0, 0]]","[[0.006618223127280242, 0.011622284030909697, 0.015564730570897599], [0.007069036857438625, 0.011629543472925096, 0.01485370812593568], [0.006888149664303165, 0.011773465351894717, 0.014568100320457902]]","[[0.0027138556336605128, 0.026463503725686992, 0.04034664035877047], [0.0032831750073461607, 0.025518732567381682, 0.0387128628943374], [0.0035021923541146693, 0.02508182397036735, 0.03933519221025225]]"
2,"[[1.0163689851760864, 0, 0], [1.0162960290908813, 0, 0], [1.017208456993103, 0, 0]]","[[0.9821614623069763, 0, 0], [0.9798398017883301, 0, 0], [0.980083703994751, 0, 0]]","[[0.007560386172564922, 0.012793083798438298, 0.01590531697669871], [0.007335936549328727, 0.01229940040781044, 0.015481743061174297], [0.006058261298549164, 0.026666381378118168, 0.025816076766074218]]","[[0.0033682707140228565, 0.02530540953425783, 0.03857205377567812], [0.0035706425594207317, 0.026763336482456178, 0.03950048908564952], [0.003241901010119842, 0.029105277919858508, 0.042092031934057354]]"
3,"[[1.016679286956787, 0, 0], [1.0180326700210571, 0, 0], [1.0174365043640137, 0, 0]]","[[0.9805282950401306, 0, 0], [0.9779380559921265, 0, 0], [0.9831123948097229, 0, 0]]","[[0.007859600342976105, 0.012626660440802018, 0.01662100540807325], [0.008027112151515683, 0.013590058586442093, 0.015700237768528556], [0.004699577584391005, 0.015123204894298593, 0.01842090775879897]]","[[0.0032530155149950255, 0.026282580841661202, 0.03968502116679297], [0.0036848857662359178, 0.026903883826975, 0.04069156422233972], [0.0031211669019627526, 0.02809774442084692, 0.04157255019028349]]"
4,"[[1.0168039798736572, 0, 0], [1.0189725160598755, 0, 0], [1.016977310180664, 0, 0]]","[[0.9795465469360352, 0, 0], [0.9769747853279114, 0, 0], [0.9856594204902649, 0, 0]]","[[0.007994006452945335, 0.013087194520687946, 0.0161077696560799], [0.007682911717856429, 0.014311480817616263, 0.017830276667247846], [0.0036921651620062555, 0.01303800453743801, 0.01525531028775892]]","[[0.0035877456029939666, 0.025129292050852584, 0.039767899663706224], [0.0034555268739483607, 0.027159453005423332, 0.03915467406407204], [0.0026793268940172197, 0.02727551327041427, 0.04111972871744515]]"
5,"[[1.016879916191101, 0, 0], [1.0189390182495117, 0, 0], [1.0170047283172607, 0, 0]]","[[0.9788920283317566, 0, 0], [0.976922333240509, 0, 0], [0.9855266809463501, 0, 0]]","[[0.008378836816468711, 0.013662316792865444, 0.016360105919716872], [0.00728128433422436, 0.015525892358962621, 0.018208121985976964], [0.0037041284869384385, 0.01338606867437595, 0.016306084827552816]]","[[0.003509905679438914, 0.024164364442225993, 0.03886381944427581], [0.003514240341746236, 0.026715241031274928, 0.040225923895455366], [0.0027358602521610326, 0.026608243227041455, 0.04273106703593233]]"
6,"[[1.0169286727905273, 0, 0], [1.0188204050064087, 0, 0], [1.017016887664795, 0, 0]]","[[0.9784073233604431, 0, 0], [0.9777898788452148, 0, 0], [0.9854309558868408, 0, 0]]","[[0.008471454350622878, 0.014077796975573221, 0.01659223194259486], [0.007070232966688484, 0.015668765717862212, 0.018821343987046695], [0.003676872421816662, 0.012839000182844885, 0.015349996724976412]]","[[0.0036957207365185102, 0.02493973597436771, 0.03964042366418624], [0.003526647236928907, 0.026193587235083953, 0.04065518203074888], [0.002782757523982503, 0.02798206530457337, 0.04354092646401215]]"
7,"[[1.0169529914855957, 0, 0], [1.019419550895691, 0, 0], [1.0170198678970337, 0, 0]]","[[0.9780368208885193, 0, 0], [0.9778299927711487, 0, 0], [0.9853506684303284, 0, 0]]","[[0.008624386255598523, 0.01445065169342251, 0.01716781101085269], [0.006228841272351769, 0.016140099238742857, 0.020920513764992814], [0.0034820335559661722, 0.012768373533965871, 0.015548226941799902]]","[[0.003558420000391397, 0.024966349841871693, 0.03918390065714422], [0.003041596505899409, 0.026965366033566796, 0.04218556267944208], [0.0027658876585166785, 0.02709772659672935, 0.041802492488140795]]"
8,"[[1.0169469118118286, 0, 0], [1.0194165706634521, 0, 0], [1.017029047012329, 0, 0]]","[[0.9777373671531677, 0, 0], [0.9777620434761047, 0, 0], [0.9852858781814575, 0, 0]]","[[0.00840013022468647, 0.014583141823715753, 0.017012431871478592], [0.005775464066417669, 0.015460853458232303, 0.01854242608164097], [0.003678027013186158, 0.012931857412615466, 0.015986307297852522]]","[[0.0037862640317843405, 0.0254902748347527, 0.03852309833372075], [0.0029451193562916407, 0.02716129709005197, 0.04139072077344358], [0.002740535984153498, 0.0284174837600356, 0.04231827089976351]]"
9,"[[1.0170624256134033, 0, 0], [1.0192736387252808, 0, 0], [1.017029047012329, 0, 0]]","[[0.9774718880653381, 0, 0], [0.9779133200645447, 0, 0], [0.9852241277694702, 0, 0]]","[[0.008627355552433618, 0.014967065017260544, 0.0171156257271946], [0.005552194714421165, 0.015333418781002547, 0.01950647447925305], [0.0037080777955841855, 0.012616143714117527, 0.015197929612832202]]","[[0.003722325629260475, 0.026532248101978736, 0.04024885971561309], [0.003090267998611619, 0.026414715183605816, 0.04137691830448365], [0.002751770841141483, 0.02721878662232173, 0.04264558250071108]]"
