epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [0, 1.0, 0.349071741104126], [0, 0.3817182183265686, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6042893528938293], [0, 0.7633721232414246, 1.0]]","[[0.010356428600474787, 0.03550240933548187, 0.033726738262357475], [0.060895482562611146, 0.021437273927213337, 0.031230531007016345], [0.09614594179464607, 0.05572958637456418, 0.01465752019680516]]","[[0.00809207407723133, 0.05352610649240111, 0.06992267536203726], [0.03600220281167544, 0.009231677406459585, 0.05152653378172008], [0.03451755537844544, 0.02418595183620068, 0.022360184087814386]]"
1,"[[11.20552921295166, 0, 0], [10.909660339355469, 0, 0], [10.49132251739502, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.03234374372111114, 0.09325280404610958, 0.09401486865984028], [0.048887380187742774, 0.07966535817254033, 0.07271718270684387], [0.05253896809200092, 0.07069558125210562, 0.0571918542488601]]","[[0.09409754314577284, 0.10420130005310098, 0.11217274617516847], [0.06523925361651128, 0.09693025397215561, 0.1374223871650871], [0.05957403383968693, 0.1017224319781985, 0.13780589217910072]]"
2,"[[0, 3.0953528881073, 0.08704659342765808], [0, 2.735187530517578, 0.18420590460300446], [0, 2.335972547531128, 0.06376126408576965]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.01086110276436644, 0.09256031827820013, 0.027792445375572808], [0.022760527848909844, 0.024156354963341873, 0.04745023905754711], [0.03933962434877145, 0.05385612503889708, 0.031470503898609045]]","[[0.06972354073858028, 0.11341809059016034, 0.15364605931749087], [0.049589372124840096, 0.07809003450432554, 0.18034859539958262], [0.06754893697955111, 0.09275313591044017, 0.13977653198466833]]"
3,"[[0, 0.07958860695362091, 1.8846392631530762], [0, 0.34434619545936584, 2.330782651901245], [0, 0.5011744499206543, 2.2852301597595215]]","[[0, 0, 0], [0, 0.019413432106375694, 0.11337515711784363], [0, 0, 0.07215113937854767]]","[[0.002900463199375937, 0.036301847680166456, 0.008525143827514391], [0.036381741500131744, 0.02273079099900201, 0.1121855728758071], [0.05578733691963515, 0.0361029936911663, 0.04372122709248635]]","[[0.07080105112411829, 0.08955878245626098, 0.18278903742812966], [0.05025119731505334, 0.08350542049500304, 0.11713162629457725], [0.07654607758303003, 0.09699368385231484, 0.10869281487570126]]"
4,"[[4.661037445068359, 0, 0], [2.5520689487457275, 0, 0], [5.4041032791137695, 0, 0]]","[[0, 0, 0], [0.0867183580994606, 0, 0], [0, 0, 0]]","[[7.919657418579409e-06, 0.0011127179508281383, 2.0016865333769293e-05], [0.0058647341120968725, 0.015336884865171693, 0.0005787325396538647], [0.011457934480691224, 0.03400744947301363, 0.011500591916297908]]","[[0.07905165022459695, 0.12006363371140846, 0.13670606655902032], [0.04027275543349717, 0.10643506850082055, 0.15554763072934388], [0.047371974658375164, 0.08246912932542831, 0.14199746889027667]]"
5,"[[0, 0.5408977270126343, 0], [0, 1.3790186643600464, 0.2301144152879715], [0, 1.5673317909240723, 0.22259007394313812]]","[[0, 0.03315667808055878, 0], [0, 0.5073609948158264, 0], [0, 0.5334535837173462, 0.00729313213378191]]","[[0.007587671877559061, 0.00495205368017793, 0.0009390816937147374], [0.02104601256742161, 0.002201508445690977, 0.006048732852160534], [0.030354065100225994, 0.0022596062929351323, 0.011832197255628816]]","[[0.10067153360755697, 0.14396971427827726, 0.13325032516897], [0.05213366912748221, 0.08227798095392475, 0.11267250296719909], [0.042752068733289385, 0.0944245089446598, 0.10607931911863179]]"
6,"[[0, 0, 0.7370142340660095], [0, 0.4103155732154846, 1.0020040273666382], [0, 0.36346760392189026, 1.1936589479446411]]","[[0, 0, 0.10378119349479675], [0, 0.40183717012405396, 0.44052109122276306], [0, 0.3842853307723999, 0.4334552586078644]]","[[0.03094444926802345, 0.027303605999986255, 0.011473801440321433], [0.028531621888924448, 0.003948571033503186, 0.014920680432076816], [0.02529256798744042, 0.003175976531032076, 0.004896967539240848]]","[[0.08676149043272126, 0.1009946304997653, 0.11846836162570668], [0.05075415940137098, 0.07924304655651161, 0.09586981495971982], [0.035593535782941985, 0.07592800802283778, 0.10088036518584954]]"
7,"[[0.5701995491981506, 0, 0], [1.9668649435043335, 0, 0], [1.9671781063079834, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.0008883031294550414, 0.0007990306967812564, 0.0008060430162321344], [0.024296036503879796, 0.005996917438016065, 0.004504467894570835], [0.012628570034252912, 0.004814627935038928, 0.01641241011478771]]","[[0.06616987291543398, 0.12821066620162658, 0.13390155438733276], [0.04241755675957232, 0.06838714847530782, 0.09511071784011851], [0.045888754772762025, 0.09058530932921902, 0.0943018149946735]]"
8,"[[0, 0.36692339181900024, 0], [0, 1.0608131885528564, 0.29385310411453247], [0, 1.0608131885528564, 0.29385310411453247]]","[[0, 0, 0], [0, 0.5391303300857544, 0.006443425547331572], [0, 0.5391303300857544, 0.006443425547331572]]","[[9.049282974381501e-08, 9.034043587823296e-08, 9.034010878587539e-08], [0.018710701682125592, 0.00999097082154123, 0.007720103999763322], [0.019740085252827402, 0.005335647722377804, 0.0065094124430454614]]","[[0.057270596112014516, 0.12591889962645478, 0.19422547347284763], [0.06133638798938189, 0.08844650883272588, 0.13390052002639485], [0.054282752228247334, 0.07981731924563722, 0.12152499502746979]]"
9,"[[0, 0, 0.20661841332912445], [0, 0.4100887179374695, 1.0019261837005615], [0, 0.4100887179374695, 1.0019311904907227]]","[[0, 0, 0], [0, 0.40165191888809204, 0.44039860367774963], [0, 0.401650607585907, 0.44039860367774963]]","[[9.041532334897423e-08, 9.034009219703195e-08, 9.033471458727771e-08], [0.026039547115245126, 0.006735643728396458, 0.01340925025817844], [0.021676912020682143, 0.005733633548072754, 0.011392378303945372]]","[[0.05674961071626062, 0.10962617921008305, 0.19602810775105045], [0.0498122656045613, 0.07247445515919723, 0.11703543991295273], [0.0540049453470047, 0.0776198361440473, 0.10999898661703968]]"
