epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[0.9999813437461853, 0, 0], [0, 0, 0], [0.9999750852584839, 0, 0], [0, 0, 0]]","[[0.999990701675415, 0, 0], [0, 0, 0], [0.9999814033508301, 0, 0], [0, 0, 0]]","[[0.002028226713033742, 0.013685526021559563, 0.01634616016298528], [0.09052998474439627, 0.0606613690696193, 0.05967661776339035], [0.0013159508689611257, 0.006991990376208766, 0.00984316463051601], [0.08957149116695484, 0.0604662633681865, 0.05990421180901876]]","[[0.0018968775736948652, 0.02763345867218243, 0.044668903839799816], [0.07335799868875151, 0.12349610099061335, 0.1320677620515342], [0.0019588577415471467, 0.03158045644727226, 0.04479022725502254], [0.07692097258869314, 0.12401007170122, 0.13077919872200272]]"
1,"[[1.1068023443222046, 0, 0], [0.7727469205856323, 0, 0], [1.093854308128357, 0, 0], [0.7727469205856323, 0, 0]]","[[0.9076669216156006, 0, 0], [0.669305682182312, 0, 0], [0.8956335783004761, 0, 0], [0.669305682182312, 0, 0]]","[[0.014416308487097965, 0.016518159061872106, 0.020097965570294085], [0.01914254845321045, 0.005955872427519486, 0.006186269814369356], [0.007090579451258907, 0.008074858584940996, 0.010167259212833466], [0.019049608006133183, 0.006119024637627383, 0.006334948911855121]]","[[0.008056166455611209, 0.03669787651084758, 0.050324788126718104], [0.03810275630095012, 0.060014910099187656, 0.07257883156610363], [0.009577438944147051, 0.03036662002018414, 0.047584897484505735], [0.03961899837137375, 0.06060832896863897, 0.07352942797877744]]"
2,"[[0, 1.0267354249954224, 0.6194368004798889], [0, 0.9145132899284363, 0.4880596101284027], [0, 1.0245308876037598, 0.6118584871292114], [0, 0.9145132899284363, 0.4880596101284027]]","[[0, 0.9588929414749146, 0.5519118309020996], [0, 0.8795512914657593, 0.45102766156196594], [0, 0.9526301026344299, 0.5410911440849304], [0, 0.8795512914657593, 0.45102766156196594]]","[[0.06517816714782794, 0.010366969446316081, 0.020949665050631592], [0.02232650987481379, 0.005651055103160074, 0.006566852715324069], [0.03595501376747648, 0.006472673373770938, 0.012289511489177486], [0.023343006049730424, 0.005930579736396883, 0.006877788329566207]]","[[0.033052845130790015, 0.011579545102847977, 0.03079798870714026], [0.03936589251017483, 0.05825088298377732, 0.07651436947574336], [0.03627770326012522, 0.010299033003969935, 0.029124530276093734], [0.03888487846090516, 0.06405745097470944, 0.07374701369589437]]"
3,"[[0, 0.6620588898658752, 1.025376558303833], [0, 0.5605859160423279, 0.8646734952926636], [0, 0.6822171211242676, 1.0635240077972412], [0, 0.5605859160423279, 0.8646734952926636]]","[[0, 0.6084554195404053, 0.9632337093353271], [0, 0.5420500040054321, 0.8273734450340271], [0, 0.5721794366836548, 0.9220606088638306], [0, 0.5420500040054321, 0.8273734450340271]]","[[0.07747904765070097, 0.020861497016292484, 0.010527473358547697], [0.024048321934502133, 0.00597661222342113, 0.0067846273663051], [0.060631197588053666, 0.023827963091022815, 0.02113946777922927], [0.02342401694496624, 0.006141650694286409, 0.006669751656633421]]","[[0.03418407613950727, 0.021468119927416304, 0.00925922699169166], [0.04025439915082858, 0.05405719861716971, 0.06670052663074988], [0.04272298601168531, 0.02667039743632689, 0.01637225870381802], [0.039566827507167834, 0.05448307964224744, 0.06734955059990416]]"
4,"[[1.0373780727386475, 0, 0], [0.9830741882324219, 0, 0], [1.1618220806121826, 0, 0], [0.9830741882324219, 0, 0]]","[[0.874596893787384, 0, 0], [0.9207030534744263, 0, 0], [0.7167829275131226, 0, 0], [0.9207030534744263, 0, 0]]","[[0.025061463859973966, 0.011474684917826274, 0.012300868511625252], [0.004933459842811595, 0.0026072505372497098, 0.00339752029481261], [0.02679289648554377, 0.013530573893713682, 0.01451569209703513], [0.004732830397213135, 0.0029819275636979842, 0.0033839489823232487]]","[[0.018473715447078386, 0.022335611315351746, 0.024746702577600217], [0.026481430517689992, 0.05165290048766824, 0.06415879926030062], [0.027938862782907307, 0.036457739446005964, 0.03462038145292575], [0.02710374493838005, 0.05322031843036897, 0.06411741866447071]]"
5,"[[0, 1.0306650400161743, 0.6430732011795044], [0, 0.927242636680603, 0.5267585515975952], [0, 1.063771367073059, 0.6533905863761902], [0, 0.927242636680603, 0.5267585515975952]]","[[0, 0.9528735876083374, 0.5637112855911255], [0, 0.8928963541984558, 0.4830543100833893], [0, 0.8812700510025024, 0.49636080861091614], [0, 0.8928963541984558, 0.4830543100833893]]","[[0.06448975203117434, 0.013034995044525818, 0.02016631420437674], [0.016823871625824292, 0.00505005936514627, 0.005182725456664813], [0.057659443164617394, 0.022928791910019477, 0.026089142399277804], [0.0190194271054569, 0.0039345027287198886, 0.005902133803525428]]","[[0.035526966019996505, 0.013644389846169395, 0.025917164748875076], [0.036537177287219884, 0.05311704193647201, 0.06554229330248702], [0.046299665219759444, 0.029518109864201787, 0.03651551443421085], [0.03509975212803338, 0.05408803157272897, 0.06437468136029457]]"
6,"[[0, 0.6673086285591125, 1.0275790691375732], [0, 0.5646584630012512, 0.8806490302085876], [0, 0.6913784742355347, 1.0624393224716187], [0, 0.5646584630012512, 0.8806490302085876]]","[[0, 0.6080357432365417, 0.9599612951278687], [0, 0.5521283149719238, 0.8450800776481628], [0, 0.5479149222373962, 0.8888498544692993], [0, 0.5521283149719238, 0.8450800776481628]]","[[0.07572917102166558, 0.021722992607898735, 0.0102184011642294], [0.0237274870077434, 0.005409940168939218, 0.0054019997993563764], [0.06401426937840735, 0.026105897565698023, 0.025423521949582147], [0.022081216793818404, 0.005302707028453266, 0.005985915336764202]]","[[0.03656502441131032, 0.0219132181203873, 0.010642709833633173], [0.04011303547219134, 0.05374313751394954, 0.0628079493407798], [0.044069327314343, 0.035467949455679805, 0.025237917216469504], [0.037929564563747346, 0.05302095109057107, 0.06183882456196831]]"
7,"[[1.0426474809646606, 0, 0], [0.981275200843811, 0, 0], [1.1825544834136963, 0, 0], [0.981275200843811, 0, 0]]","[[0.8628142476081848, 0, 0], [0.9258531332015991, 0, 0], [0.6979096531867981, 0, 0], [0.9258531332015991, 0, 0]]","[[0.02679727835900112, 0.011576223200384147, 0.012355624633024134], [0.0040314306848641445, 0.0036662666402855143, 0.0042521130628062126], [0.028944549533548438, 0.014801530891471855, 0.015736245973914577], [0.004791972024952495, 0.0032681477267550224, 0.004067335098823769]]","[[0.023755337293720948, 0.02390122823851308, 0.026717174060715176], [0.026043149255812092, 0.05215860442199998, 0.06295734655214036], [0.030280380298197438, 0.039678102015417605, 0.03642390910110274], [0.02647707274872932, 0.05264703112969815, 0.05984450473779925]]"
8,"[[0, 1.028183937072754, 0.6465222239494324], [0, 0.9235444664955139, 0.5370891094207764], [0, 1.0722872018814087, 0.6503114104270935], [0, 0.9235444664955139, 0.5370891094207764]]","[[0, 0.9470885992050171, 0.5643952488899231], [0, 0.894389808177948, 0.4949928820133209], [0, 0.8593729734420776, 0.47639361023902893], [0, 0.894389808177948, 0.4949928820133209]]","[[0.06698741045401609, 0.014103296050831732, 0.021501917561755516], [0.018453872796546686, 0.004326528990965065, 0.005529606893239794], [0.059336675798413945, 0.02472239414086129, 0.027051266802816377], [0.016466324062220268, 0.003889999893001789, 0.005749582496379656]]","[[0.03542927114263305, 0.015157341951421802, 0.02740454484736585], [0.037716956336029527, 0.055283479280649535, 0.06331622640765305], [0.0421275426989139, 0.03678553760882029, 0.045300002644231674], [0.038925435703856814, 0.05334750001868143, 0.06511815713542618]]"
9,"[[0, 0.6686016321182251, 1.0276963710784912], [0, 0.5617433190345764, 0.8828812837600708], [0, 0.6770450472831726, 1.0628719329833984], [0, 0.5617433190345764, 0.8828812837600708]]","[[0, 0.6041766405105591, 0.9549318552017212], [0, 0.5507656335830688, 0.847852349281311], [0, 0.5088627934455872, 0.8538853526115417], [0, 0.5507656335830688, 0.847852349281311]]","[[0.07975137067212729, 0.023994930114904927, 0.011939691812345422], [0.024835825846813604, 0.004869003856013523, 0.005280479949064193], [0.06419754209215466, 0.031059345006768886, 0.025500334010560635], [0.023633742260430354, 0.005395029156465551, 0.00488782422839223]]","[[0.0382250544899687, 0.024684978560249655, 0.01292166649450772], [0.038306965246709776, 0.05621412607741417, 0.06232770769347623], [0.045924685341314234, 0.04145151943402604, 0.03328159835525957], [0.039302756824763745, 0.05286804957530194, 0.06294016560545755]]"
