epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[6.594718933105469, 0, 0], [2.301218032836914, 0, 0], [12.2044677734375, 0, 0], [2.301218032836914, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.04646289271547016, 0.07178515060509096, 0.07311433246039543], [0.00011838773266783545, 0.0010871276447798903, 0.00254480583726424], [0.030654778939068525, 0.023156644506226343, 0.01399884182372071], [9.083721639831309e-08, 0.013917041546263859, 9.082083106254441e-08]]","[[0.08566365203852357, 0.12235656669277079, 0.09958003569798288], [0.07020485135493618, 0.18001266390870588, 0.19477983159713824], [0.10828797582045332, 0.1121239596940494, 0.17729658934026318], [0.07360623282145229, 0.18552233041477467, 0.15533541703984363]]"
1,"[[0, 0.2835455536842346, 1.8448340892791748], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.005389241533513044, 0.009300564576740772, 0.07106704297640906], [9.107625929265542e-08, 9.064901970805863e-08, 9.059763224594331e-08], [3.875584093602177e-07, 1.3348082667876265e-06, 3.899009478857164e-06], [9.076147509863035e-08, 9.06461091893416e-08, 9.060024696455175e-08]]","[[0.06234135547706207, 0.10172902613217623, 0.12755588675363871], [0.09745771826669047, 0.1848088167197566, 0.153357060485471], [0.09937741217395865, 0.18651619963944177, 0.20282051549116278], [0.10718391135990259, 0.1571926609543421, 0.20005522856391614]]"
2,"[[0, 0.2835489809513092, 1.8448340892791748], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.027464349540131012, 0.010014226184519585, 0.031043087710923307], [9.102016518289845e-08, 9.061869169622889e-08, 9.059506497754963e-08], [6.385666672443036e-06, 5.397336358566613e-05, 9.56730358157329e-08], [9.098024439560705e-08, 9.06274187662171e-08, 9.057030478044005e-08]]","[[0.06449726656239085, 0.09788934706788942, 0.13372934573385675], [0.06984010158240418, 0.1230245772293781, 0.19581730278041465], [0.09536463549324965, 0.15174553580878672, 0.1501403769476636], [0.10129319885564127, 0.12383319728928165, 0.19083050316392014]]"
3,"[[0, 0.2835455536842346, 1.844832420349121], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.03722550824900868, 0.035882148215302195, 0.06672862702758187], [9.098743288327336e-08, 9.059597031595538e-08, 9.068173315127264e-08], [3.8752855209422576e-07, 5.39634662185674e-05, 3.899520517580007e-06], [9.091328952333436e-08, 9.068317502311954e-08, 9.067440814922769e-08]]","[[0.06632580053184646, 0.10580745180705281, 0.0948718242412168], [0.06973429620814967, 0.12072920729249967, 0.1907177366317884], [0.070409073072306, 0.18015068388551947, 0.19382073282216414], [0.09670674108222041, 0.18948074648233462, 0.15178315960119523]]"
4,"[[0, 0.2835455536842346, 1.844832420349121], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.032072149812176334, 0.0381865921174978, 0.04016807995721129], [9.105154930653042e-08, 9.061387922836383e-08, 9.067788820051948e-08], [0.0006197474687893241, 5.396467050339245e-05, 9.581634093704362e-08], [9.072384348628561e-08, 9.06922494015333e-08, 9.078114289152757e-08]]","[[0.0629183814278317, 0.07305528134550883, 0.14672332536718283], [0.09796545485955631, 0.181411241149139, 0.19828026714680638], [0.07059479584842306, 0.12223239768765311, 0.18840992681159527], [0.10372508301870952, 0.1923577294205894, 0.19313934574543096]]"
5,"[[0, 0.2835472524166107, 1.8448307514190674], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.026099896276891348, 0.00974342540481923, 0.010813363337761787], [9.08787111780388e-08, 9.062399073683062e-08, 9.064916467191675e-08], [3.8749017093439023e-07, 5.191866655182873e-05, 3.8994072655073015e-06], [9.066730075924659e-08, 9.059840811261429e-08, 9.053526053052785e-08]]","[[0.0631372060218476, 0.07630574580831281, 0.1290061374503195], [0.07344387767215994, 0.18656127247264093, 0.15235355734431222], [0.07021965494708214, 0.12375181358753111, 0.19445688092800809], [0.0993468591349415, 0.12441840794076736, 0.20740265657770465]]"
6,"[[0, 0.2835489809513092, 1.844832420349121], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.02420953021035574, 0.026140274711285705, 0.013688810951575264], [9.087767881292048e-08, 9.06156538591927e-08, 9.064314570967664e-08], [3.8741210299705074e-07, 5.396920815706675e-05, 9.557117697916644e-08], [9.103093035697231e-08, 9.066142700101485e-08, 9.061477626671012e-08]]","[[0.08060569091601782, 0.10243726366328172, 0.12238744810677542], [0.10163740355156915, 0.18732613616504334, 0.19805665782336943], [0.07014043162874585, 0.1316176325655038, 0.15092942637019163], [0.10440684889308512, 0.12418797133688383, 0.15068729067063838]]"
7,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.005580490718844363, 0.029588467089067934, 0.09552272878927459], [9.082389734860687e-08, 9.073852976322923e-08, 9.063792354814704e-08], [3.874239632245437e-07, 5.3970261350110905e-05, 3.8992484444289526e-06], [9.075684794732466e-08, 9.080362139612524e-08, 9.066063084210166e-08]]","[[0.06251877021026576, 0.10203579513535328, 0.1409544286231466], [0.10556572787766003, 0.15544701047769177, 0.1939140911549175], [0.10429077037676703, 0.12409814272759917, 0.1941055598226754], [0.07407011419924928, 0.12021518389666241, 0.20579826499041315]]"
8,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.026144468423358526, 0.036180631585229744, 0.0360245143381819], [9.095194566757518e-08, 9.059607209737845e-08, 9.062071226411112e-08], [3.876295198828629e-07, 1.3347592754542804e-06, 9.568814027444797e-08], [9.084328112383806e-08, 9.06841807497914e-08, 9.059882019687437e-08]]","[[0.0648962525768738, 0.10449231526417105, 0.1360460052319702], [0.07169297527355234, 0.15026341510272398, 0.15036383072831205], [0.09974646489311967, 0.12167062957731392, 0.21037722023706895], [0.07043069647633357, 0.1525387181638186, 0.14997362558798585]]"
9,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0, 0.24603597819805145], [0, 0, 1.0684088468551636], [0, 0, 0.24603597819805145]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.034151727717692745, 0.008880180933827362, 0.06545882051958321], [9.072434852819579e-08, 9.064245248234827e-08, 9.067515368675428e-08], [6.385217239335631e-06, 5.1915611132821696e-05, 3.899136313073271e-06], [9.084900693397618e-08, 9.0640123680601e-08, 9.05986806058599e-08]]","[[0.06837050891781635, 0.07293772897526486, 0.1464134800447244], [0.0996674457912184, 0.1536288923650982, 0.196170115853848], [0.07014020001627634, 0.1898373340135651, 0.19573157182309672], [0.09887349896089188, 0.18438832301088198, 0.16452932197854753]]"
