epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
10,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020536184310913, 0.6175287365913391], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823427796363831, 0.5959076881408691], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.04676261448483356, 0.00211120928728833, 0.011957047017884548], [0.011978717932560178, 0.0024479252700011656, 0.0037071940557914327], [0.04159702213457767, 0.011060322754141228, 0.016485449997842676], [0.012120957371757118, 0.0023085750295298566, 0.0037983773425780145]]","[[0.026830323952558653, 0.0031386615907181004, 0.01843152074042783], [0.035227855910448753, 0.0479719666284799, 0.060866157283865484], [0.028623652427043518, 0.006521314003089423, 0.022805173556162527], [0.03449073926529993, 0.048213558358882566, 0.05986448484523206]]"
11,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106072187423706, 0.5281262397766113], [0, 1.002051830291748, 0.6175368428230286], [0, 0.9106072187423706, 0.5281262397766113]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.913744330406189, 0.5180869102478027], [0, 0.9823409914970398, 0.5959125757217407], [0, 0.913744330406189, 0.5180869102478027]]","[[0.04696934750597922, 0.0022743915805738765, 0.012392693846695065], [0.01219966037608869, 0.0023731068163262343, 0.0037832347240893357], [0.04089151965149165, 0.011676304429094182, 0.016827870296395916], [0.012091031239693661, 0.0021724990659177856, 0.0037614523395862747]]","[[0.027117338417895848, 0.003101231171287451, 0.01832178253683864], [0.0347600427893481, 0.047305812847899566, 0.06104612697941844], [0.029146739951828506, 0.006483094176734354, 0.023347042889319353], [0.035118340644155345, 0.048249595126415634, 0.0598889048357992]]"
12,"[[0, 1.0029348134994507, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020536184310913, 0.6175433397293091], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.9948108196258545, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823392033576965, 0.5959158539772034], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.04670734578693632, 0.0024636779511531077, 0.012209385158317711], [0.012049261462594078, 0.0024293054878949, 0.0038156664917869325], [0.040751238725397695, 0.011322762665477045, 0.01725782952645052], [0.012334141096903705, 0.002577458222682797, 0.003538635011326232]]","[[0.02749472843595033, 0.0031202000271423596, 0.01832035923700852], [0.034720558195026494, 0.04803718592422874, 0.06121275598799678], [0.028845754709024573, 0.0065586520518832086, 0.023362937128772736], [0.03487669489470344, 0.0480379256988636, 0.060630879971486945]]"
13,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281246304512024], [0, 1.0020536184310913, 0.6175450086593628], [0, 0.9106054306030273, 0.5281246304512024]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823392033576965, 0.5959174633026123], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.04703199253023615, 0.0022104333480634387, 0.012833520619723603], [0.012031706086036197, 0.002405569268896087, 0.0036837064777816195], [0.040988838372607264, 0.01139839258399324, 0.016005095022909727], [0.01237492131009735, 0.002359815066759222, 0.0038369192300631142]]","[[0.026759559695129147, 0.0031273675463641903, 0.019037721227601074], [0.03472660972510622, 0.047682326653666236, 0.06043068070776467], [0.02856211780120193, 0.00649044872942369, 0.022807123422318894], [0.03453459293737964, 0.047835494813661096, 0.06059405895719198]]"
14,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020536184310913, 0.6175482273101807], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823374152183533, 0.595919132232666], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.04701810971960599, 0.002183465056288026, 0.01237081542745153], [0.012070505145510755, 0.0024090175101143525, 0.0038993925661749765], [0.04267396687940557, 0.01139653141873451, 0.016301392224664438], [0.012227753867377114, 0.0023934516912958235, 0.003823212622683779]]","[[0.02655748502594256, 0.003021346304491696, 0.017965123906939887], [0.03480134392643185, 0.04790406040891103, 0.05958773880672493], [0.02920361005479018, 0.007040652339071531, 0.023014526736026022], [0.03480795348725137, 0.0481856164463742, 0.059887032586368884]]"
15,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020536184310913, 0.6175515055656433], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823374152183533, 0.595920741558075], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.047711176961741555, 0.002107755712063727, 0.012668511622068777], [0.01137834166107274, 0.0023624475996554986, 0.003959466323003516], [0.04085924251904469, 0.011496076027984066, 0.016257106286214056], [0.0118686929847324, 0.002291082522722666, 0.0037820355905266497]]","[[0.02740090264278032, 0.003029799784176523, 0.018728766858464384], [0.03427904458065431, 0.04812843047871194, 0.06026059962111429], [0.029306644789920643, 0.00634680580300055, 0.02304055037883319], [0.03471066984543395, 0.048343801231752685, 0.060152384733164484]]"
16,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020536184310913, 0.6175515055656433], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.9948090314865112, 0.6200235486030579], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823355674743652, 0.5959224104881287], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.04691097715364668, 0.0022054730355751118, 0.012094363128541721], [0.01245334913610722, 0.0022283497760834485, 0.0036471876345548497], [0.041038211613046154, 0.0114725213842433, 0.016292978623222782], [0.012091717485825378, 0.0022374379534615446, 0.0035124181680430615]]","[[0.026487169354309715, 0.0030882049214457337, 0.018112538830060997], [0.03517836755201128, 0.04737327886708322, 0.06125929481742854], [0.029279328504859172, 0.006780883285425608, 0.023494092666685885], [0.03452230207319217, 0.04781434112869186, 0.06065396357577107]]"
17,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106072187423706, 0.5281262397766113], [0, 1.0020536184310913, 0.6175515055656433], [0, 0.9106072187423706, 0.5281262397766113]]","[[0, 0.994807243347168, 0.6200235486030579], [0, 0.913744330406189, 0.5180869102478027], [0, 0.9823355674743652, 0.5959224104881287], [0, 0.913744330406189, 0.5180869102478027]]","[[0.047931277142122114, 0.0021647221734497576, 0.013134413832730247], [0.011625602873518893, 0.002342874383577056, 0.0037250930300730743], [0.04147491164202571, 0.011052786851675158, 0.016505310248287164], [0.012309267633372983, 0.0023819930302944516, 0.0038115082627849]]","[[0.02626749047812205, 0.0031675332125255815, 0.01809282618085559], [0.034808448955627805, 0.04750883534389403, 0.060616681887491336], [0.028951208232632124, 0.006550525582720072, 0.023397332450653216], [0.03534303117647872, 0.048015186691051724, 0.06069025827809677]]"
18,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.002051830291748, 0.6175563335418701], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823355674743652, 0.5959224104881287], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.046698996338976145, 0.00216320429778635, 0.013049167941610951], [0.01201824986908305, 0.0022101491918956745, 0.0038144872520934113], [0.040563861058376956, 0.01162508584771687, 0.01626176569632766], [0.012007552192192985, 0.0021706669581764305, 0.003661220933401024]]","[[0.026572736927436922, 0.002950349129497446, 0.017758889621621563], [0.034456020502661625, 0.047049742620436125, 0.05927055402603446], [0.028669052845526892, 0.006585233039162478, 0.02280044353789094], [0.03494164566755136, 0.04770171651551228, 0.05999521316388555]]"
19,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020536184310913, 0.6175563335418701], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200235486030579], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823355674743652, 0.5959224104881287], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.047188094750057044, 0.00222990200126206, 0.012689122237685757], [0.011989418538331987, 0.0023186378911519887, 0.00372760681592142], [0.04107525691925491, 0.011179139812424776, 0.01644982366143328], [0.012108996698510127, 0.002252768016014992, 0.003706893572905171]]","[[0.026552168357490077, 0.0031635743982893955, 0.018927055360963063], [0.03432733303203605, 0.047756759396045255, 0.0607719125080841], [0.028757787139772107, 0.006165859213617839, 0.023936615397738368], [0.035062216592703886, 0.04829172981184274, 0.06124223527482166]]"
