epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[11.637121200561523, 0, 0], [13.405447959899902, 0, 0], [12.952327728271484, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.043679458698100984, 0.005848800601724075, 0.009042418675113326], [0.06195857854416882, 0.05011756501258339, 0.05683412269104519], [0.022891563983376585, 0.015808626870027858, 0.0638919399328138]]","[[0.056949906211498556, 0.13732462864240697, 0.13771540108506244], [0.059987027409716565, 0.09214168545463877, 0.1284162904245509], [0.04344230794213036, 0.09820594756707267, 0.15438117611183902]]"
1,"[[0, 2.15435791015625, 0], [0, 1.6169114112854004, 0.09619870036840439], [0, 2.5017404556274414, 0.0934598445892334]]","[[0, 0.02145501598715782, 0], [0, 0.08165150135755539, 0], [0, 0.3820151388645172, 0]]","[[0.007604911929055677, 0.0035969825240441435, 0.0037876931654926074], [0.01065852876388821, 0.051686708779380496, 0.002621197736933352], [0.05707202250156486, 0.009764109249981359, 0.035826448331840545]]","[[0.06408702318974012, 0.1492533399064072, 0.16903415678711603], [0.09446655750071194, 0.1144577710398919, 0.14406191447107916], [0.050732123557672516, 0.07601511562222922, 0.11638493084651094]]"
2,"[[0, 2.194303512573242, 0], [0, 1.5703177452087402, 0.026591021567583084], [0, 2.542715072631836, 0.1624756157398224]]","[[0, 0.04058336094021797, 0], [0, 0, 0], [0, 0.38293346762657166, 0]]","[[0.0014081692350735044, 0.05570708208264085, 0.00028597490651723274], [0.004816035476338203, 0.006343986898538832, 0.005551002250293945], [0.02690961820867244, 0.016162275248687907, 0.0339483384639426]]","[[0.05755776876057227, 0.1127400143006084, 0.1505857105933582], [0.06850315078318975, 0.11310868909055523, 0.1441840167003874], [0.050978515781822595, 0.08938046627911907, 0.11768468067678574]]"
