epoch,likelihood,decodingST,decodingTS
10,"[[-23012.658203125, -697.8021850585938, -5973.931640625], [-14204.9951171875, -148.4149932861328, -2659.389892578125], [-26218.900390625, -773.1870727539062, -6448.59033203125], [-16768.505859375, -366.2534484863281, -3602.09521484375], [-38888.6796875, -1184.4932861328125, -10147.9248046875]]","[[0.024451333286480723, 9.000019471431726e-08, 0.010772108169937743], [0.044967598684221274, 9.000023687801622e-08, 0.014606307863861035], [0.06309858960392146, 9.000021087908537e-08, 0.01994942335523919], [0.07639032513558601, 1.7748607523341402e-06, 0.04208390073162731], [0.06648555180946021, 9.000023417650965e-08, 0.051254503238022074]]","[[0.09924401346813469, 0.27296632927632414, 0.16795015033454858], [0.1039218430346215, 0.2727469127662029, 0.17119906111993988], [0.09937607981236354, 0.2724582739795598, 0.17121012828711935], [0.10360625921425773, 0.2726965682241399, 0.17039729748445212], [0.10353082435559777, 0.27261183001577743, 0.17408660240343599]]"
11,"[[-21501.193359375, -627.3988647460938, -5495.95458984375], [-13710.3056640625, -130.3348388671875, -2563.0498046875], [-25111.568359375, -703.2103881835938, -6047.40283203125], [-16100.5126953125, -357.34075927734375, -3481.4453125], [-37373.7421875, -1127.0615234375, -9661.44921875]]","[[0.02207980530291541, 9.000022234253389e-08, 0.011335282403598173], [0.044182200815014706, 9.000013092206967e-08, 0.012180600564675069], [0.05763920781624621, 9.00003199607873e-08, 0.02018754597705559], [0.08198336336574677, 0.00013758384605666642, 0.04831035125814416], [0.0632458760311932, 9.000035811614673e-08, 0.039922826160533255]]","[[0.09821398057296432, 0.27272912027566143, 0.16641611558179442], [0.10445031152056919, 0.2728264604571973, 0.17380807206300847], [0.09984884154413189, 0.2727420825166826, 0.17157644763525812], [0.10263629877814993, 0.2726468627017856, 0.16938205059553532], [0.10347014463642398, 0.27283400344999365, 0.17304244031760554]]"
12,"[[-20480.728515625, -584.9208984375, -5201.8984375], [-13317.9248046875, -119.6363525390625, -2477.58056640625], [-24310.783203125, -659.4649658203125, -5766.87255859375], [-15454.498046875, -347.931884765625, -3338.72119140625], [-35669.62890625, -1091.1651611328125, -9188.185546875]]","[[0.022150305595266415, 9.000024961684347e-08, 0.013392197042634356], [0.04624736983771382, 9.000024236109917e-08, 0.014520432096934027], [0.05687621158611861, 9.000032026872349e-08, 0.021107361730274405], [0.0861610874625985, 0.0014364335778913452, 0.05472170812033128], [0.060168054381165764, 9.000021805621739e-08, 0.035500391495094895]]","[[0.09658004927258282, 0.27260212259046174, 0.16409766163365558], [0.10363966874415673, 0.2727463934340556, 0.1758468610766306], [0.10088635238557779, 0.2726073866929542, 0.17186708365326464], [0.10141337089045564, 0.27247272227766967, 0.16983257246082836], [0.102939430459582, 0.27264929661318277, 0.17162697190448586]]"
13,"[[-19896.111328125, -567.8807983398438, -5068.013671875], [-13019.234375, -110.21719360351562, -2405.901123046875], [-23678.93359375, -626.6329956054688, -5568.61181640625], [-14832.2978515625, -339.8626708984375, -3207.0703125], [-34308.12890625, -1067.6197509765625, -8869.35546875]]","[[0.023420132421684146, 9.000030178978087e-08, 0.01643278421288924], [0.04740839455373733, 9.000028250814323e-08, 0.01565664077637447], [0.05481741757202982, 9.00002508282271e-08, 0.020753619889267234], [0.09046209172661787, 0.005241162025622125, 0.06130502695693143], [0.05831559662330147, 9.000027123412467e-08, 0.03381269946693612]]","[[0.09662353491335701, 0.2726045423135786, 0.1623710357173622], [0.10303539600171857, 0.27285114769157653, 0.17441991890551167], [0.10068765092562404, 0.2725670726771085, 0.17275732989597478], [0.10317893386032002, 0.2708574198307847, 0.16740162105783368], [0.10355677961902882, 0.2726195781909303, 0.1734662682091968]]"
14,"[[-19617.201171875, -569.5428466796875, -5039.10791015625], [-12779.6796875, -102.26091003417969, -2338.399169921875], [-23064.595703125, -610.8119506835938, -5431.35400390625], [-14224.8701171875, -326.9808349609375, -3055.2314453125], [-33254.8671875, -1064.825927734375, -8684.8779296875]]","[[0.026258876542128846, 0.0008263663990784758, 0.01863860312367162], [0.04902328179620223, 9.000022061819922e-08, 0.01625024245439336], [0.05379322057201091, 9.000024442479157e-08, 0.02044557589642161], [0.09361371298738437, 0.012887303403064947, 0.06982589384583679], [0.057953559522269285, 9.000023697825951e-08, 0.033157031498637024]]","[[0.09446077359636856, 0.27233267843200176, 0.15907743739187324], [0.10350096891355802, 0.2728689087028285, 0.17553842248507334], [0.10178113095530374, 0.2731595779639688, 0.17049200467551764], [0.1017851882382471, 0.2655981344544804, 0.16670219055571198], [0.1027793793820179, 0.2726254074378076, 0.17426540900474335]]"
15,"[[-19528.50390625, -571.601318359375, -5035.09423828125], [-12590.23046875, -98.14994049072266, -2282.810546875], [-22491.796875, -596.92822265625, -5303.4931640625], [-13697.0966796875, -312.88482666015625, -2936.421142578125], [-32576.50390625, -1057.57080078125, -8545.4697265625]]","[[0.02695349241107558, 0.001143729094164681, 0.019795290896183003], [0.05142552507564504, 9.000021588079515e-08, 0.017275130174804865], [0.05298772757342702, 9.000020971224036e-08, 0.019999906190855416], [0.09563222641790699, 0.01783005015511382, 0.0731681296439974], [0.056802354979875666, 9.000025418101543e-08, 0.029321057856925705]]","[[0.09479439949892783, 0.2723099070051588, 0.15804426822174203], [0.10365673387558084, 0.2726725063008301, 0.17335974298446172], [0.10253957222382498, 0.2728686540058336, 0.17372930962982477], [0.10109303631731334, 0.2624752737349288, 0.16619455611824477], [0.10195774973847885, 0.27273379490414945, 0.17272634992884736]]"
16,"[[-19438.875, -568.40234375, -5005.8935546875], [-12463.8505859375, -98.17308044433594, -2268.5556640625], [-21940.16015625, -582.509765625, -5163.58544921875], [-13232.4921875, -299.7299499511719, -2840.532470703125], [-32024.20703125, -1047.23291015625, -8430.3359375]]","[[0.027120523756360572, 0.0013092975428058763, 0.019347187991602524], [0.05288570992336493, 9.000016486260219e-08, 0.01892243966228397], [0.049599734221248595, 9.000021832696017e-08, 0.018067520663016364], [0.09712990159413891, 0.024406103511427708, 0.07437136522142412], [0.05610811606058878, 9.000025725845194e-08, 0.02486548666659204]]","[[0.09358527236352154, 0.2723063470334499, 0.15749328323418907], [0.10387298997140161, 0.2727554262628217, 0.17362552305715742], [0.10142499795387538, 0.27263835984191614, 0.17122766162004094], [0.10193694285210465, 0.25736485253290686, 0.16629204137093162], [0.10395888630400987, 0.2724882797938407, 0.17259373169007147]]"
17,"[[-19357.43359375, -565.9420776367188, -4980.1845703125], [-12365.63671875, -96.50370788574219, -2222.632568359375], [-21382.755859375, -566.88427734375, -5015.57080078125], [-12821.2138671875, -274.7177734375, -2743.02392578125], [-31650.462890625, -1041.191162109375, -8367.4990234375]]","[[0.027002465315040736, 0.0014309573016135723, 0.019542707316125715], [0.05561982901556518, 9.00002394516674e-08, 0.01966381211845217], [0.04656365012509399, 9.000028474267916e-08, 0.015778666654947208], [0.09915967841806747, 0.0424143122879404, 0.08067870295044577], [0.056039272373038566, 9.000026095313805e-08, 0.02344473482124401]]","[[0.09508842201735876, 0.27221922625463174, 0.1578606092819222], [0.10392709823098385, 0.2727326151188357, 0.1747263643900009], [0.10208288745589648, 0.2725475866948529, 0.17374851742098263], [0.10071938400504213, 0.23177698263188443, 0.1612034669745238], [0.10366771286161197, 0.2729255293763336, 0.1741746442853485]]"
18,"[[-19278.89453125, -562.6620483398438, -4953.53515625], [-12291.7109375, -96.23516845703125, -2212.9013671875], [-20807.951171875, -551.865234375, -4876.70947265625], [-12478.646484375, -247.7484130859375, -2650.98779296875], [-31398.939453125, -1039.234375, -8339.4775390625]]","[[0.027024073419918745, 0.0013902348232503357, 0.019229236591184466], [0.0556890768101802, 9.000023503530681e-08, 0.020686754574913133], [0.04442591643801932, 9.00002974810734e-08, 0.014226284088688231], [0.10083064920831011, 0.03063549924741286, 0.08304256837563964], [0.05593010267160165, 9.332031750805594e-08, 0.025111233940496507]]","[[0.09512670284357909, 0.27208834322354, 0.15766188516066512], [0.1033465693081584, 0.27255217176229224, 0.17363731167068824], [0.10151646983222859, 0.2727276840762913, 0.17454913030527797], [0.10084853551698784, 0.20260464785386284, 0.15848797726613284], [0.1037728385305039, 0.27265693878614483, 0.17386373165697183]]"
19,"[[-19203.705078125, -559.4979858398438, -4929.37939453125], [-12226.19921875, -96.59434509277344, -2202.410400390625], [-20238.2265625, -535.7926635742188, -4733.01220703125], [-12175.1796875, -228.04592895507812, -2577.43994140625], [-31169.7578125, -1040.649658203125, -8314.27734375]]","[[0.027892402950179158, 0.0010838036067283988, 0.019344346924812322], [0.056924199104298294, 9.000028843718451e-08, 0.021208752985052856], [0.04202525274200483, 9.000022607139314e-08, 0.012186770273807867], [0.10057970014139138, 0.020290945649752805, 0.08322499928539404], [0.057612726460223765, 4.813937696918843e-06, 0.028191407007841996]]","[[0.09427887014555927, 0.2721924358676724, 0.15793206741140556], [0.10373521530548353, 0.27242907253768467, 0.17487833103376735], [0.10160251037998379, 0.2726811894468366, 0.17254526884945864], [0.1004851290828965, 0.19497174342814086, 0.15876221493956444], [0.10364532942289753, 0.27273627479458423, 0.1736279810225884]]"
20,"[[-19126.25, -556.51123046875, -4905.6884765625], [-12166.8330078125, -96.99080657958984, -2194.81982421875], [-19679.60546875, -519.7561645507812, -4585.3486328125], [-11910.1875, -208.35047912597656, -2501.067138671875], [-30928.916015625, -1053.392822265625, -8309.84765625]]","[[0.026343119451496866, 0.001338770197226914, 0.018907518985319952], [0.057336501725646104, 9.000025621159195e-08, 0.022298137407817546], [0.04004035338458374, 9.00003258094821e-08, 0.010771161036367022], [0.10036557734168304, 0.011159376183189155, 0.08145295003594526], [0.06039284761021014, 0.0018699603281653347, 0.03564068511194496]]","[[0.09470306428227264, 0.2723656949739576, 0.15740744754441705], [0.10301907563993903, 0.27271013619630813, 0.1738113909950707], [0.10212824025840753, 0.2729263518269667, 0.1756500379825461], [0.1006476613093896, 0.19343754814650244, 0.1580086768949423], [0.10323960843847552, 0.27138462174458317, 0.17309294915268572]]"
21,"[[-19049.263671875, -553.5592041015625, -4882.16357421875], [-12108.505859375, -96.85496520996094, -2184.559814453125], [-19146.755859375, -504.8586730957031, -4448.01513671875], [-11716.2529296875, -195.86631774902344, -2454.966796875], [-30674.69140625, -1058.3829345703125, -8284.93359375]]","[[0.026743495196468667, 0.0014452983339083307, 0.01970916386906079], [0.05761474759526471, 9.000019976594359e-08, 0.023164668742214376], [0.03783995472389493, 9.000019438002573e-08, 0.009802744262373826], [0.10063134938439255, 0.010823864681726816, 0.08245437600825353], [0.06214564857287991, 0.005489089604255137, 0.039253466143212894]]","[[0.09438962760988386, 0.27228169995581264, 0.15820456814603326], [0.10445720048149368, 0.2727018225539867, 0.1749392938955717], [0.10305245158718374, 0.27277833375926436, 0.17405622267460102], [0.10024581779725997, 0.19894490839700885, 0.1608957379198536], [0.10409466368061535, 0.26716799510844286, 0.17219445258449]]"
