S->T Decoding,S->T Decoding,S0,S1,S00,S01,S11,T0,T1,T2
T0,['T0'],[0.02140104 0.02004805],[0.02034286 0.01976666],[0.01757806 0.01796206],[0.02025418 0.01834936],[0.01875754 0.02193551],[0.00195058],[0.00807506],[0.0251281]
T1,['T1'],[0.03223339 0.03454289],[0.03245235 0.03193708],[0.03102547 0.03289581],[0.03248433 0.0299073 ],[0.03095105 0.03059929],[0.01268941],[0.00251822],[0.02444513]
T2,['T2'],[0.06494295 0.06599373],[0.06726111 0.06482472],[0.06312328 0.06413832],[0.0656595  0.06393714],[0.06372154 0.067353  ],[0.03807608],[0.022744],[0.00245985]

