epoch,teacher,student,likelihood,decodingST,decodingTS
0,0,0,-117718.7734375,0.01155295926092322,0.13026292526352398
0,1,0,-96212.0,0.016760658570649647,0.16324265067576282
0,2,0,-36229.3515625,0.0032835292890225735,0.2471909220882801
0,0,1,-127245.359375,0.09958583210751852,0.13704649946889955
0,1,1,-90626.6484375,0.09343271650185896,0.17101698529811393
0,2,1,-32459.380859375,0.0411455461287268,0.24608257523757734
1,0,0,-90855.734375,0.01540280846061804,0.129307178557847
1,1,0,-73381.1796875,0.021052532230640325,0.15959599122048612
1,2,0,-26756.48828125,0.00678304570099675,0.24440284968557574
1,0,1,-86554.203125,0.05343070364990422,0.13737277154450261
1,1,1,-62917.92578125,0.0484797160072292,0.16837757374663348
1,2,1,-21113.69140625,0.006921004811717277,0.2440801968570304
2,0,0,-73613.5078125,0.012253726636255768,0.12944807791725244
2,1,0,-59157.23828125,0.017626375547842833,0.16193328875389784
2,2,0,-21019.607421875,0.004097788805255598,0.24423289271027537
2,0,1,-66699.921875,0.031376837065347246,0.13518349809163593
2,1,1,-50234.0390625,0.03329570642502763,0.1685536443018538
2,2,1,-16334.998046875,0.00286044219792225,0.24614492839555852
3,0,0,-61164.82421875,0.011128141962186885,0.13241529398089813
3,1,0,-49162.40234375,0.013171173141342038,0.16245483646099537
3,2,0,-16759.408203125,0.0024775544542300462,0.24528635883407876
3,0,1,-57216.55078125,0.03128301088424502,0.13742222661602796
3,1,1,-43929.53515625,0.03740899843006262,0.16743556045628752
3,2,1,-14034.263671875,0.004294439117512036,0.246233267540194
4,0,0,-52631.5625,0.011324929548108884,0.13358797382339693
4,1,0,-42364.6875,0.014151512341325485,0.16388232133266661
4,2,0,-13668.44140625,0.0019855636295544703,0.2449304830334224
4,0,1,-50951.9921875,0.04145691779064137,0.13563034187407916
4,1,1,-39510.06640625,0.04815407831198056,0.17023711047705703
4,2,1,-12509.15234375,0.009326920139941991,0.24558834033095928
