Epoch,Mean_Loss,Decoding_T0_S,Decoding_T1_S,Decoding_T2_S,Decoding_S_T0,Decoding_S_T1,Decoding_S_T2
0,1494.6075439453125,0.13296824735176824,0.16534630194337271,0.24082381572410586,0.039769554931391324,0.049752248737371704,0.028277993805987667
1,1241.12646484375,0.13168643997828092,0.16759674211601344,0.22057904958055094,0.10614403818789599,0.10718757107438967,0.08975938712316985
2,1054.010009765625,0.13289401400651876,0.167981903248938,0.22950465657615166,0.09979066345919678,0.10199549111211094,0.07833490349771811
3,905.6849975585938,0.1365636460968632,0.16905478952019445,0.2419690507478575,0.056907505248455524,0.06347677692509389,0.026803119189278746
4,800.0499267578125,0.1351906970577684,0.1704565880123523,0.245657840214454,0.03192061734311205,0.04012764104957079,0.008089765750650048
5,724.7083740234375,0.13775418599869801,0.16514406817464836,0.2437521013831205,0.021065915787241245,0.031570096591093305,0.008809787797617787
6,668.7496337890625,0.13609334021069705,0.16505734195679259,0.24068679815863311,0.02067286815564284,0.030824540399685806,0.011900070072593093
7,620.6130981445312,0.13413923159468513,0.168476729747477,0.24247229889692384,0.018436930596917325,0.02604821011248183,0.008751392837873122
8,577.326416015625,0.13573752802512082,0.1693630465011042,0.24277291672450035,0.01258912548956704,0.019187554284958983,0.005260705557518977
9,538.5256958007812,0.1369907391603692,0.1684659337115777,0.24633535307937757,0.007410383720284913,0.013779926217080228,0.0021649663959526894
10,504.3437805175781,0.13850086796699862,0.1731553622621545,0.2448626365295753,0.004693094565013803,0.009153425253487316,0.0011517235563565612
11,474.2259826660156,0.13661121608415072,0.17010078211013294,0.24634701791902533,0.002333770566618673,0.005589910417120022,0.0004965289801325011
12,447.9194641113281,0.1377950160405803,0.17019837077332686,0.24533650364990622,0.0014119875269211174,0.0029195601117418717,0.00012445575779054205
13,424.9273376464844,0.13740313859098965,0.1700098473359252,0.24562661586538184,0.00058654274750481,0.0017063791155100133,5.2327640751074766e-05
14,404.9121398925781,0.13495252777123395,0.16916634723668889,0.24531805217199493,0.0005152586947572299,0.0008640861876254362,2.0137932547398744e-06
15,388.2405090332031,0.13439927493052478,0.1703789299521998,0.24479943115230843,0.00031875689430968496,0.0008378615025766853,8.333336832800985e-08
16,376.2711181640625,0.13473857036022943,0.17084614342567297,0.24818879184387402,0.00020146753622864497,0.0010087670151241795,8.333333444154646e-08
17,370.3243103027344,0.13667392661353764,0.17046558265298983,0.24485359035049623,0.0002121047023531378,0.0006470217364583867,8.333333950761447e-08
18,367.5299987792969,0.13909653772280478,0.16955767720202797,0.2457930846144909,0.0002008651743652939,0.0005323843780361005,8.333334694630339e-08
19,365.4541320800781,0.13637033032834572,0.17247481655115465,0.24733469925558166,0.0001392254582867365,0.0003158856442580446,8.333333850869107e-08
20,363.86395263671875,0.13688331866171416,0.16912154050522385,0.2458394473581459,0.00013803360140119948,0.0003189653827866297,8.333334148307921e-08
21,362.6700439453125,0.13714566844167703,0.17158315508414346,0.2459224712884858,7.500803971173254e-05,0.00037283828858445425,8.33333752556737e-08
22,361.6658630371094,0.14015565973446237,0.1703512585792375,0.24613597933189074,7.126857593925601e-05,0.0003788083133974145,8.333336980817028e-08
23,360.6761779785156,0.13776243807740662,0.16978673007183331,0.24615810528402396,8.257314838978913e-05,8.186545710288242e-05,8.333333251274218e-08
24,359.68902587890625,0.13650588060394384,0.17142241921991425,0.24712189853279634,6.914616199739425e-05,0.00027239514519975314,8.333334516225581e-08
25,358.7043762207031,0.137518304196623,0.16957769470561107,0.24654674778817348,1.056823280735313e-05,0.0003360067876074008,8.333334389394359e-08
26,357.7225036621094,0.13680441108254612,0.16894884879253932,0.24771041222966372,7.149326540852468e-05,0.00014074051210384938,8.333337328204455e-08
27,356.7430725097656,0.13369866137083755,0.17102920318187087,0.24530385134417546,8.454993993783142e-06,0.0001422894634451252,8.33333668744296e-08
28,355.76629638671875,0.13672955570796555,0.16916404216956546,0.2450332665128952,0.0001485294446693286,7.828718273528787e-05,8.333342652597235e-08
29,354.7919921875,0.137214112776006,0.16955194332615192,0.24505568744272638,6.35171068525523e-06,0.00020923235385225954,8.333339978318959e-08
30,353.8203430175781,0.13723661668141743,0.17259908518638165,0.24674519735943468,0.00010092431141936276,0.0002869910496881277,8.333337292281502e-08
31,352.85101318359375,0.13897552409375333,0.1691734403132736,0.24617435982325594,0.0001865671145816838,0.0002125805233637271,8.333338151397111e-08
32,351.8843688964844,0.13817146207957445,0.1708934232139529,0.2445304427707763,7.179148222049259e-05,0.00020474530587571825,8.333336209476939e-08
33,350.9203796386719,0.13560433707811553,0.1682806596557542,0.24600993494984635,7.44268001265455e-06,2.267401600784151e-05,8.333337005726864e-08
34,349.958740234375,0.13518209660680974,0.17091659076925636,0.24554422555514913,2.147404810076769e-06,0.0002121646057108453,8.33335325554615e-08
35,348.999755859375,0.13794872471629244,0.17097036267074214,0.24730262665364353,0.00010753730222849884,8.389841761963237e-05,8.333334238541769e-08
36,348.043212890625,0.13767402026568415,0.17169953231234755,0.2443668422252368,1.8750295984793445e-06,0.00014913881166299752,8.33334819838525e-08
37,347.0892639160156,0.13752134676250993,0.16910384334661144,0.2451699640074499,2.628389548300102e-06,7.128593338767032e-05,8.333368690658283e-08
38,346.1377258300781,0.13501287754068758,0.1704765859970388,0.24723867820596054,2.1301889060641553e-06,7.09438070030956e-05,8.333335599899818e-08
39,345.188720703125,0.1374544035622173,0.17132411001646153,0.2469885023334489,2.0077004885333283e-06,1.1836732483356076e-05,8.333334538223675e-08
40,344.2421875,0.13868657927293146,0.17041225319195966,0.2448793064825591,2.3442970174046486e-06,0.0002064071474883481,8.333344166973988e-08
41,343.2982482910156,0.136767442096701,0.17192122870589763,0.24680610244836906,0.00010753729281894852,0.00014003650334810453,8.333333893494988e-08
42,342.3568115234375,0.1367643641371614,0.1706416628900033,0.24576865798416825,2.3121560341989113e-06,0.00020859806420455736,8.333349964461725e-08
43,341.41754150390625,0.13935897209083295,0.17089001025676312,0.24702241565902447,2.0447083327951753e-06,0.00016067179248410732,8.333333393894874e-08
44,340.4810485839844,0.1405065947143574,0.172114714489862,0.24678220009689175,1.7750965812283676e-06,7.38522435755152e-05,8.333339172326607e-08
45,339.546630859375,0.1379645949155013,0.17139563654113057,0.24560997529015643,2.261318779024484e-06,1.1547155474407464e-05,8.333344980593716e-08
46,338.6150817871094,0.138284462413101,0.17151366189100387,0.24736875807511602,2.7242093676032047e-06,1.2064854367702416e-05,8.333343561624594e-08
47,337.6859436035156,0.1348803291396878,0.17108071274800865,0.24730350014044686,8.333358474818773e-08,8.291711696237524e-06,8.333350435144244e-08
48,336.75897216796875,0.13859232453296874,0.17063055517400064,0.24431713086441095,8.333371105195715e-08,2.4524417272407912e-05,8.333335880793209e-08
49,335.83465576171875,0.13541242193870345,0.1688239590494784,0.24473763997987863,8.333333893494988e-08,2.389230835298253e-06,8.333334389394359e-08
