epoch,likelihood,decodingST,decodingTS
10,"[[-2.526226043701172, -2.757164716720581, -3.629176139831543], [-2.5276038646698, -2.759078025817871, -3.628828287124634], [-2.5242295265197754, -2.7569291591644287, -3.629495620727539], [-2.5264410972595215, -2.757267713546753, -3.629695177078247], [-8.717158317565918, -7.662990570068359, -3.7790658473968506]]","[[8.889831543433601e-08, 8.890716364148689e-08, 8.88895942047018e-08], [8.889364722947456e-08, 8.890455335653979e-08, 8.889162077219819e-08], [8.890014832789423e-08, 8.88958359463701e-08, 8.891046898128636e-08], [8.889175156823001e-08, 8.890791498288014e-08, 8.890010083955752e-08], [0.035101981923368206, 0.03537282765921849, 0.025635491053402418]]","[[0.1287844595952068, 0.16034638202169574, 0.24101077958055922], [0.1280001604984492, 0.16236770343304974, 0.24853981954418686], [0.13820162446365408, 0.16526765781112396, 0.24043128673397754], [0.1304108125330956, 0.16703080601793782, 0.24545676952303344], [0.09157520764707232, 0.11786097940615076, 0.15819141250953683]]"
11,"[[-2.5232009887695312, -2.755957841873169, -3.6293509006500244], [-2.5249218940734863, -2.7569634914398193, -3.629885673522949], [-2.5262393951416016, -2.756168842315674, -3.6285476684570312], [-2.5265283584594727, -2.7601523399353027, -3.6304187774658203], [-8.711134910583496, -7.663240909576416, -3.7782838344573975]]","[[8.889600532971824e-08, 8.890603620033002e-08, 8.889342437772697e-08], [8.889161978795164e-08, 8.889451417766417e-08, 8.890270580174519e-08], [8.889853159054258e-08, 8.889113531436225e-08, 8.889327841337592e-08], [8.88917167344268e-08, 8.89143973274985e-08, 8.889366113069625e-08], [0.03492353763348404, 0.03513167756126216, 0.025467922623159566]]","[[0.1294277076160186, 0.17090663619302673, 0.24459453090681502], [0.13550057033192947, 0.1645788633823998, 0.2483083706009967], [0.13030321688880148, 0.16548952545348927, 0.2391044137900356], [0.13239447905657895, 0.17074839517126936, 0.23747223420839425], [0.08863981441446595, 0.11880529392678006, 0.1554345193125396]]"
12,"[[-2.5290021896362305, -2.7558302879333496, -3.627426862716675], [-2.526212453842163, -2.757042169570923, -3.6290667057037354], [-2.5272812843322754, -2.762909173965454, -3.6325972080230713], [-2.5260040760040283, -2.758204698562622, -3.629882335662842], [-8.710254669189453, -7.665477752685547, -3.776942253112793]]","[[8.889628965360218e-08, 8.889268374384099e-08, 8.888981165279421e-08], [8.891138038521054e-08, 8.888973970817276e-08, 8.889522821089066e-08], [8.889077988123326e-08, 8.88908836499263e-08, 8.889037503535576e-08], [8.889026960105697e-08, 8.88948878582992e-08, 8.889799829923777e-08], [0.036365051240486716, 0.036238968188707844, 0.026867426348266856]]","[[0.12405594746860986, 0.16059558676260374, 0.24418386336456824], [0.1197233275052219, 0.16478738313628571, 0.2427580355679974], [0.12728359576288742, 0.15885494297221425, 0.24731002678890318], [0.12314844522016445, 0.16690813621573197, 0.2417076595490884], [0.0882363684941655, 0.11679740850763885, 0.1589438693143845]]"
13,"[[-2.525130271911621, -2.757213830947876, -3.6295361518859863], [-2.5240278244018555, -2.757827043533325, -3.631624460220337], [-2.5261049270629883, -2.758082151412964, -3.6293632984161377], [-2.525782346725464, -2.7577779293060303, -3.6296932697296143], [-8.713568687438965, -7.663034915924072, -3.779104709625244]]","[[8.889543923578854e-08, 8.890529924429112e-08, 8.889947980146146e-08], [8.88924063074561e-08, 8.889519416738428e-08, 8.889274853191025e-08], [8.89007207779072e-08, 8.889462515794097e-08, 8.890913276392194e-08], [8.89144419113567e-08, 8.890329205004088e-08, 8.891262921099222e-08], [0.03584443020959788, 0.03598173173885416, 0.025868263542721738]]","[[0.1315159908629905, 0.16388292211358432, 0.23961881584926487], [0.1393733867071788, 0.1649147350725969, 0.23309401164856572], [0.12942834030378053, 0.17299982715644438, 0.23381930373599202], [0.1368994519568566, 0.16680409947886402, 0.23997329591008917], [0.08796841099841886, 0.12111954172881935, 0.15511749939179487]]"
14,"[[-2.5253922939300537, -2.757704257965088, -3.629573345184326], [-2.5246126651763916, -2.7573118209838867, -3.629751682281494], [-2.5246193408966064, -2.7569291591644287, -3.6296546459198], [-2.5246126651763916, -2.757439374923706, -3.629373788833618], [-8.709710121154785, -7.662313938140869, -3.7783138751983643]]","[[8.8907356184438e-08, 8.89070241443391e-08, 8.889562351287488e-08], [8.890041631234591e-08, 8.889232692453725e-08, 8.890560472433794e-08], [8.889343062859204e-08, 8.89085212732335e-08, 8.889461209269275e-08], [8.889048025468015e-08, 8.890009367405398e-08, 8.89129532884793e-08], [0.03663772426063996, 0.03609947095677289, 0.02557209110205026]]","[[0.12776057348159095, 0.16070723177988097, 0.2431839863014751], [0.13012814965207292, 0.16318674400977348, 0.24045128219158998], [0.13430397082272416, 0.1652115100356279, 0.24130253140147034], [0.13565693019016795, 0.16421684679235768, 0.23437348747354353], [0.08833334182941528, 0.12247207508925198, 0.15706889659332052]]"
15,"[[-2.5188114643096924, -2.7524306774139404, -3.630563735961914], [-2.525627613067627, -2.7571499347686768, -3.6294302940368652], [-2.525439500808716, -2.7575523853302, -3.6295645236968994], [-2.5269923210144043, -2.757974147796631, -3.62921142578125], [-8.708224296569824, -7.660910606384277, -3.7782909870147705]]","[[8.889278546626206e-08, 8.88944655741781e-08, 8.889282395826196e-08], [8.889281912290721e-08, 8.890607643084339e-08, 8.889153129482005e-08], [8.88946045210742e-08, 8.890337175584787e-08, 8.889377630349332e-08], [8.889086810326839e-08, 8.890786475583715e-08, 8.889255637614557e-08], [0.0355532873266518, 0.0358237609281853, 0.025662456324838337]]","[[0.12798408020389843, 0.16935390628920366, 0.2360025612026968], [0.12812080483745256, 0.15975289325464015, 0.24505197603977377], [0.12680077291666864, 0.1714646519246685, 0.23703081202940127], [0.14141743930828224, 0.17226373739041378, 0.24413047756184184], [0.0895806693576392, 0.11228914586674703, 0.15506657183288589]]"
16,"[[-2.524894952774048, -2.757591485977173, -3.629822254180908], [-2.5255603790283203, -2.757488489151001, -3.6295361518859863], [-2.5261588096618652, -2.7585136890411377, -3.6297621726989746], [-2.5248546600341797, -2.757709264755249, -3.6300411224365234], [-8.713293075561523, -7.661313056945801, -3.7777771949768066]]","[[8.889241095414828e-08, 8.890034238277292e-08, 8.889565535688953e-08], [8.88913531097684e-08, 8.889681088482194e-08, 8.889163225055552e-08], [8.889432690646137e-08, 8.891328915363117e-08, 8.89044160636498e-08], [8.889195367074088e-08, 8.890971951202666e-08, 8.888944135416227e-08], [0.03478778114373781, 0.0349921116311958, 0.026320608536724254]]","[[0.12820490973238424, 0.1650605852935351, 0.24481986854039192], [0.13886924507630027, 0.1715637503413655, 0.24039490219148413], [0.13618958276896206, 0.16381404456953738, 0.2336394854391852], [0.1273104553965851, 0.15998254694063999, 0.24194217991110561], [0.09424771212745536, 0.12058385493894405, 0.15913349895555723]]"
17,"[[-2.5242159366607666, -2.7592790126800537, -3.630676507949829], [-2.5304272174835205, -2.7554821968078613, -3.6265952587127686], [-2.5267770290374756, -2.757169723510742, -3.6291215419769287], [-2.5253520011901855, -2.7589848041534424, -3.6306254863739014], [-8.710738182067871, -7.662259578704834, -3.778080701828003]]","[[8.889293489165819e-08, 8.889530062555133e-08, 8.889357058293051e-08], [8.889107045947776e-08, 8.889284893792599e-08, 8.889817375824043e-08], [8.889087284230998e-08, 8.889254812824822e-08, 8.890549603995977e-08], [8.889123186797454e-08, 8.888985055747273e-08, 8.889271412523678e-08], [0.03742567295010171, 0.03679358025551127, 0.025967831588339353]]","[[0.13040065790491043, 0.1703824059586417, 0.23613994551152606], [0.1317824036806759, 0.1581118080525718, 0.24322029239073542], [0.13068999124158906, 0.16575604649350667, 0.2381195004104306], [0.12859962957344093, 0.17380403941649664, 0.24350912126441063], [0.09429483903758491, 0.11588318103333158, 0.14657198789051412]]"
18,"[[-2.525667905807495, -2.757542371749878, -3.6295909881591797], [-2.523611068725586, -2.7580673694610596, -3.630535364151001], [-2.527886152267456, -2.759460687637329, -3.6300976276397705], [-2.524935245513916, -2.757655382156372, -3.629822254180908], [-8.705609321594238, -7.657604217529297, -3.7792935371398926]]","[[8.889264252414772e-08, 8.891362892745066e-08, 8.889058605820983e-08], [8.88927171320049e-08, 8.890237232303897e-08, 8.891050981495724e-08], [8.889016494026892e-08, 8.889984406453832e-08, 8.889566974786698e-08], [8.889164807316081e-08, 8.88946233128431e-08, 8.890567165426699e-08], [0.035895612771915025, 0.03654060164454596, 0.02562511881799607]]","[[0.13725750668544062, 0.16782391210107028, 0.2434729346565017], [0.1344559954924028, 0.16172370122865115, 0.2439229857599926], [0.13107440114041044, 0.1588544138670381, 0.2419648972119699], [0.13066558563689953, 0.16725653835038143, 0.24013543765089798], [0.09143221892804604, 0.11527577688942714, 0.1520607540586012]]"
19,"[[-2.5257956981658936, -2.7580525875091553, -3.6298575401306152], [-2.525419235229492, -2.7578465938568115, -3.629765748977661], [-2.525177240371704, -2.7579104900360107, -3.630095958709717], [-2.5255134105682373, -2.757753372192383, -3.629817008972168], [-8.704654693603516, -7.656951904296875, -3.779759645462036]]","[[8.889128103398394e-08, 8.889390354638478e-08, 8.889180167931135e-08], [8.889082935129647e-08, 8.889405711857627e-08, 8.889723221398171e-08], [8.890917838519123e-08, 8.889071861114435e-08, 8.889719069730753e-08], [8.89007647999783e-08, 8.889641178392783e-08, 8.889278348934553e-08], [0.03603189100412219, 0.03640806383714584, 0.02625831837148266]]","[[0.13341906591630978, 0.16505571138636296, 0.23465490229965083], [0.13382214467933198, 0.16011018795254991, 0.24245333168269506], [0.12898178781042474, 0.1671039702485818, 0.23856153446522035], [0.14441681275824442, 0.16730408387217643, 0.2420198025160506], [0.095325184385734, 0.12109764367349451, 0.15220129188656956]]"
