teacher,epoch,likelihood,decodingST,decodingTS
0,0,-117718.7734375,0.01155295926092322,0.13026292526352398
1,0,-96212.0,0.016760658570649647,0.16324265067576282
2,0,-36229.3515625,0.0032835292890225735,0.2471909220882801
0,1,-127245.359375,0.09958583210751852,0.13704649946889955
1,1,-90626.6484375,0.09343271650185896,0.17101698529811393
2,1,-32459.380859375,0.0411455461287268,0.24608257523757734
0,2,-227202.484375,0.05871417139756802,0.1359109365025737
1,2,-165750.0,0.05649453899041644,0.16861242861293796
2,2,-61502.7578125,0.009063062008699663,0.24400347371483924
0,0,-90855.734375,0.015585112886614273,0.12784712448777355
1,0,-73381.1796875,0.021640900036766518,0.16046399511277354
2,0,-26756.48828125,0.006391645345374519,0.24327496214042654
0,1,-86554.203125,0.05073345858480252,0.13393228441688187
1,1,-62917.92578125,0.0486028163898546,0.17145914272894713
2,1,-21113.69140625,0.006654191436657058,0.2432539353972186
0,2,-174810.890625,0.13512517737178859,0.1323747023763106
1,2,-129608.8203125,0.14126481751128475,0.15922589676002075
2,2,-51126.328125,0.12198727921079665,0.21558079861851312
0,0,-73613.5078125,0.01194874913417512,0.1299036149161918
1,0,-59157.23828125,0.016114724711352037,0.16333513300450145
2,0,-21019.607421875,0.003701699840901113,0.2431391929685036
0,1,-66699.921875,0.031184595068146623,0.13969227573885243
1,1,-50234.0390625,0.03401335581267291,0.16974526190760966
2,1,-16334.998046875,0.0024328178666279173,0.2444943748527841
0,2,-128149.125,0.07653393666435693,0.13155938142545293
1,2,-96430.6875,0.09829149218121401,0.16499670619672183
2,2,-36536.421875,0.08054505972551942,0.2323532938652183
0,0,-61164.82421875,0.010876273807986565,0.13233828604495956
1,0,-49162.40234375,0.014210671085931624,0.16562753171511316
2,0,-16759.408203125,0.002638879499023557,0.24433708682037797
0,1,-57216.55078125,0.03078894860384648,0.13655351380423647
1,1,-43929.53515625,0.03525121350580779,0.17055228678728235
2,1,-14034.263671875,0.003976412300618652,0.24655358318891904
0,2,-109373.3671875,0.08085091839343767,0.1354704750194965
1,2,-82323.15625,0.10110427993803923,0.16686740243086404
2,2,-30141.20703125,0.09061429668134606,0.23645397361058224
0,0,-52631.5625,0.011112990580392662,0.13061090580588827
1,0,-42364.6875,0.014593737075010868,0.16455531643593416
2,0,-13668.44140625,0.0019078386160819325,0.24559710337675927
0,1,-50951.9921875,0.04108654070605959,0.1346002255808172
1,1,-39510.06640625,0.04834114896505316,0.16891966575958645
2,1,-12509.15234375,0.010139593820078875,0.24425011742904262
0,2,-98787.4375,0.10919322889106049,0.13256667999588592
1,2,-74168.859375,0.1229931996450585,0.1633883730565371
2,2,-26466.013671875,0.1171558866836005,0.2376548688984488
0,0,-47585.08984375,0.013001479058890672,0.13060170489320105
1,0,-38400.80859375,0.015369965430022576,0.16554214120584537
2,0,-11696.412109375,0.002146288340269003,0.24431211289587285
0,1,-46795.18359375,0.0567110710493835,0.13771622422857377
1,1,-36613.2109375,0.06308131374386304,0.1679876557593434
2,1,-11600.5048828125,0.021517002008064536,0.2444376478629389
0,2,-90950.578125,0.12805752878492624,0.13417960464884238
1,2,-68428.3515625,0.13254403620737432,0.16351147397889165
2,2,-23056.126953125,0.10743682082860602,0.2418495651154009
0,0,-44534.94921875,0.012201122000478612,0.13284912650175668
1,0,-36066.33203125,0.016312134408334105,0.16064847938621216
2,0,-10606.9814453125,0.001969760964606512,0.24456637447428986
0,1,-43617.21875,0.0726186484505578,0.13589259230596284
1,1,-34202.49609375,0.07944783662909116,0.165843711894308
2,1,-10896.228515625,0.03712089498836633,0.24306870790078916
0,2,-84229.0078125,0.12929016663626183,0.13057396157084633
1,2,-63525.859375,0.13042509211690245,0.15966057170952908
2,2,-20480.18359375,0.08704296355407168,0.23894268854312667
0,0,-42196.65625,0.014181347838000957,0.13119114558565778
1,0,-34304.9921875,0.017540467215260824,0.1655953881171292
2,0,-9895.859375,0.0023915061139494036,0.24472082067575335
0,1,-40700.09765625,0.09073455242461022,0.13357256554287109
1,1,-31983.896484375,0.09444141678054487,0.16573922344456696
2,1,-10158.4951171875,0.05459820074911061,0.23931970653917412
0,2,-77469.046875,0.1253465806353293,0.12184331579917074
1,2,-58660.4765625,0.1254592222509816,0.15028856756790898
2,2,-18237.91796875,0.0743765677305129,0.21766832123449442
0,0,-40326.19140625,0.0136655051576445,0.13101939412912508
1,0,-32958.2265625,0.017851003016905898,0.16128239494073301
2,0,-9341.3701171875,0.002519523952229767,0.2453472721875712
0,1,-38250.05859375,0.10741065444138297,0.13234637581858108
1,1,-30108.298828125,0.11036466689680882,0.1633115027193319
2,1,-9505.31640625,0.07827193261145811,0.23643362468365775
0,2,-72019.5625,0.12407202321060788,0.12022697019353581
1,2,-54737.51171875,0.12649890488556673,0.14492853802286396
2,2,-16655.447265625,0.07245214190844985,0.2070454411039589
0,0,-39188.84765625,0.015050564412814044,0.1289287952820356
1,0,-32248.88671875,0.01972669895664526,0.16273422252605557
2,0,-8964.1904296875,0.0035851609079478376,0.24375125658680355
0,1,-36239.14453125,0.12015058690173021,0.13082786791122622
1,1,-28517.685546875,0.12509746417515383,0.16154001050234426
2,1,-8988.21875,0.09628974282095457,0.23141325929936282
0,2,-67842.3828125,0.1302996744153574,0.117007218682561
1,2,-51765.69921875,0.13421095906062136,0.14282054194495486
2,2,-15502.234375,0.07628966349348028,0.20443004654095004
0,0,-38456.03125,0.01649051366246068,0.12994598995577045
1,0,-31741.9609375,0.019984092991780958,0.15791068724919838
2,0,-8785.640625,0.0037676329371549955,0.2441853548357466
0,1,-34670.796875,0.13088789274494878,0.12783176848468758
1,1,-27259.009765625,0.13668255663657364,0.1598064165871526
2,1,-8542.5029296875,0.11209343042373175,0.22738123052288103
0,2,-64363.1015625,0.14089494678388392,0.11646800553912753
1,2,-49207.30078125,0.14605945811026072,0.14326525115408723
2,2,-14560.8134765625,0.0845984530337463,0.2050792988765066
0,0,-37951.81640625,0.01635613278876448,0.1302029476718173
1,0,-31382.33984375,0.020670043224872262,0.16031726687920525
2,0,-8673.396484375,0.004844916154331423,0.24337485792829608
0,1,-33371.5546875,0.14583974871971,0.12490345234744432
1,1,-26251.25390625,0.15183525794728983,0.15814977409256073
2,1,-8171.59619140625,0.13084153159326445,0.21848021876126267
0,2,-61050.26171875,0.15851464791701378,0.11739253262449638
1,2,-46717.14453125,0.16512566317518954,0.14426640655124776
2,2,-13841.2529296875,0.10305068727772956,0.20578079700623136
0,0,-37570.48828125,0.020172338257044762,0.13062510587079473
1,0,-31121.09375,0.022475384179681455,0.15683546014643576
2,0,-8641.998046875,0.0054216800281020085,0.244218142311608
0,1,-32255.484375,0.15214535974050034,0.12197951715467063
1,1,-25408.83984375,0.15975263099732132,0.15354084054873499
2,1,-7879.310546875,0.13755254035181966,0.21186768217967136
0,2,-58089.953125,0.1660882865657601,0.11769036104766198
1,2,-44465.76171875,0.1728324820012319,0.14405950449783092
2,2,-13144.572265625,0.1142063696202918,0.20551249190689455
0,0,-37278.94140625,0.019003448528978943,0.12693288030498862
1,0,-30909.955078125,0.02461166510460556,0.15916739516191947
2,0,-8607.2763671875,0.005902221997439851,0.24511329359032447
0,1,-31294.80859375,0.16078947346460215,0.1221191447126528
1,1,-24730.412109375,0.16490298803613193,0.15230427414288866
2,1,-7650.46435546875,0.13934406846277175,0.20722181142967896
0,2,-55293.01171875,0.16992952876007697,0.11416681801572238
1,2,-42459.2109375,0.17616043841601411,0.14040692542524816
2,2,-12659.1025390625,0.12444826444807673,0.2046980787177439
0,0,-37014.07421875,0.020979124858429885,0.127985697789743
1,0,-30695.408203125,0.024957388590098953,0.1570498991918905
2,0,-8551.197265625,0.0060459681327614334,0.24389514842877819
0,1,-30410.19921875,0.16960180038475714,0.11968789465623515
1,1,-24085.236328125,0.1753484524933837,0.15305278127201702
2,1,-7458.00537109375,0.1449981261901085,0.2027544522726455
0,2,-52960.01953125,0.17268035966355683,0.11203656286566356
1,2,-40731.18359375,0.17746780631987474,0.144296076723372
2,2,-12140.5947265625,0.13028702655963187,0.20599441341479663
0,0,-36741.953125,0.021955233804879345,0.12808468698964198
1,0,-30474.490234375,0.02508990658193841,0.1590064204541042
2,0,-8488.767578125,0.005841683849938753,0.24348109601559467
0,1,-29794.013671875,0.17464985232520852,0.12125085135344704
1,1,-23634.4375,0.18020937484237778,0.15086654056775042
2,1,-7312.65673828125,0.14881423067649913,0.19915396364087118
0,2,-50625.3203125,0.17111112054764305,0.11287679605765011
1,2,-39066.2109375,0.17666738897911372,0.14547038030998308
2,2,-11620.044921875,0.13504270977822644,0.20870458192843103
0,0,-36497.18359375,0.02238743305730627,0.12851270876264415
1,0,-30283.794921875,0.024355307092735295,0.15963142037194722
2,0,-8437.0224609375,0.006619602716753765,0.24216894013899154
0,1,-29193.31640625,0.18063949699874776,0.12337795538675365
1,1,-23153.197265625,0.18574062419982973,0.15226376233216404
2,1,-7171.13525390625,0.1539065765401209,0.19773366911270523
0,2,-48373.3515625,0.17250257194840674,0.11333772496534776
